date,kode,nama,open,high,low,close,volume
2026-01-22,PANS,Panin Sekuritas Tbk.,1585.0,1585.0,1575.0,1580.0,43600
2026-01-23,PANS,Panin Sekuritas Tbk.,1580.0,1585.0,1565.0,1575.0,81400
2026-01-26,PANS,Panin Sekuritas Tbk.,1575.0,1595.0,1575.0,1585.0,186000
2026-01-27,PANS,Panin Sekuritas Tbk.,1580.0,1585.0,1570.0,1580.0,28100
2026-01-28,PANS,Panin Sekuritas Tbk.,1580.0,1590.0,1505.0,1515.0,428300
2026-01-29,PANS,Panin Sekuritas Tbk.,1475.0,1550.0,1450.0,1545.0,322300
2026-01-30,PANS,Panin Sekuritas Tbk.,1545.0,1555.0,1505.0,1540.0,143100
2026-02-02,PANS,Panin Sekuritas Tbk.,1550.0,1550.0,1505.0,1530.0,150200
2026-02-03,PANS,Panin Sekuritas Tbk.,1545.0,1560.0,1510.0,1535.0,59200
2026-02-04,PANS,Panin Sekuritas Tbk.,1535.0,1555.0,1535.0,1545.0,42300
2026-02-05,PANS,Panin Sekuritas Tbk.,1530.0,1560.0,1530.0,1545.0,127900
2026-02-06,PANS,Panin Sekuritas Tbk.,1545.0,1545.0,1535.0,1540.0,15500
2026-02-09,PANS,Panin Sekuritas Tbk.,1540.0,1540.0,1530.0,1540.0,8600
2026-02-10,PANS,Panin Sekuritas Tbk.,1540.0,1560.0,1540.0,1560.0,168200
2026-02-11,PANS,Panin Sekuritas Tbk.,1560.0,1570.0,1555.0,1560.0,51500
2026-02-12,PANS,Panin Sekuritas Tbk.,1555.0,1600.0,1555.0,1585.0,365300
2026-02-13,PANS,Panin Sekuritas Tbk.,1585.0,1615.0,1585.0,1595.0,183500
2026-02-18,PANS,Panin Sekuritas Tbk.,1595.0,1605.0,1585.0,1595.0,55700
2026-02-19,PANS,Panin Sekuritas Tbk.,1595.0,1750.0,1590.0,1750.0,3072300
2026-02-20,PANS,Panin Sekuritas Tbk.,1780.0,1800.0,1730.0,1745.0,1456300
2026-02-23,PANS,Panin Sekuritas Tbk.,1765.0,1765.0,1735.0,1760.0,406600
2026-02-24,PANS,Panin Sekuritas Tbk.,1760.0,1765.0,1745.0,1755.0,327400
2026-02-25,PANS,Panin Sekuritas Tbk.,1745.0,1755.0,1745.0,1750.0,237500
2026-02-26,PANS,Panin Sekuritas Tbk.,1750.0,1765.0,1705.0,1750.0,274400
2026-02-27,PANS,Panin Sekuritas Tbk.,1755.0,1760.0,1740.0,1750.0,70200
2026-03-02,PANS,Panin Sekuritas Tbk.,1740.0,1740.0,1700.0,1725.0,298700
2026-03-03,PANS,Panin Sekuritas Tbk.,1725.0,1725.0,1710.0,1710.0,178400
2026-03-04,PANS,Panin Sekuritas Tbk.,1710.0,1710.0,1630.0,1680.0,477200
2026-03-05,PANS,Panin Sekuritas Tbk.,1680.0,1740.0,1680.0,1705.0,137600
2026-03-06,PANS,Panin Sekuritas Tbk.,1685.0,1705.0,1685.0,1700.0,272300
2026-03-09,PANS,Panin Sekuritas Tbk.,1700.0,1700.0,1635.0,1650.0,590200
2026-03-10,PANS,Panin Sekuritas Tbk.,1650.0,1710.0,1650.0,1690.0,88100
2026-03-11,PANS,Panin Sekuritas Tbk.,1690.0,1700.0,1680.0,1690.0,81500
2026-03-12,PANS,Panin Sekuritas Tbk.,1680.0,1710.0,1670.0,1690.0,39900
2026-03-13,PANS,Panin Sekuritas Tbk.,1690.0,1690.0,1665.0,,66600
2026-03-16,PANS,Panin Sekuritas Tbk.,1670.0,1690.0,1650.0,,361700
2026-03-17,PANS,Panin Sekuritas Tbk.,1680.0,1695.0,1665.0,,123100
2026-03-25,PANS,Panin Sekuritas Tbk.,1680.0,1690.0,1655.0,1680.0,204000
2026-03-26,PANS,Panin Sekuritas Tbk.,1690.0,1690.0,1675.0,,118400
2026-03-27,PANS,Panin Sekuritas Tbk.,1690.0,1690.0,1670.0,1680.0,29500
2026-03-30,PANS,Panin Sekuritas Tbk.,1670.0,1680.0,1660.0,1675.0,39100
2026-03-31,PANS,Panin Sekuritas Tbk.,1675.0,1695.0,1670.0,1680.0,129800
2026-04-01,PANS,Panin Sekuritas Tbk.,1695.0,1695.0,1685.0,1690.0,55100
2026-04-02,PANS,Panin Sekuritas Tbk.,1690.0,1690.0,1680.0,1680.0,22700
2026-04-06,PANS,Panin Sekuritas Tbk.,1685.0,1690.0,1680.0,1690.0,29600
2026-04-07,PANS,Panin Sekuritas Tbk.,1685.0,1690.0,1675.0,1680.0,168900
2026-04-08,PANS,Panin Sekuritas Tbk.,1680.0,1700.0,1680.0,1690.0,127800
