date,kode,nama,open,high,low,close,volume
2026-01-22,BBRI,Bank Rakyat Indonesia (Persero,3850.0,3850.0,3790.0,3810.0,153742700
2026-01-23,BBRI,Bank Rakyat Indonesia (Persero,3810.0,3850.0,3760.0,3850.0,164603900
2026-01-26,BBRI,Bank Rakyat Indonesia (Persero,3840.0,3850.0,3800.0,3850.0,120002700
2026-01-27,BBRI,Bank Rakyat Indonesia (Persero,3850.0,3850.0,3780.0,3820.0,157633200
2026-01-28,BBRI,Bank Rakyat Indonesia (Persero,3630.0,3780.0,3540.0,3590.0,726740400
2026-01-29,BBRI,Bank Rakyat Indonesia (Persero,3550.0,3780.0,3290.0,3780.0,781321200
2026-01-30,BBRI,Bank Rakyat Indonesia (Persero,3780.0,3890.0,3740.0,3810.0,532329000
2026-02-02,BBRI,Bank Rakyat Indonesia (Persero,3860.0,3880.0,3750.0,3830.0,334659200
2026-02-03,BBRI,Bank Rakyat Indonesia (Persero,3780.0,3870.0,3760.0,3800.0,201224300
2026-02-04,BBRI,Bank Rakyat Indonesia (Persero,3820.0,3880.0,3800.0,3870.0,251005600
2026-02-05,BBRI,Bank Rakyat Indonesia (Persero,3850.0,3940.0,3840.0,3850.0,342757200
2026-02-06,BBRI,Bank Rakyat Indonesia (Persero,3800.0,3850.0,3770.0,3780.0,279127200
2026-02-09,BBRI,Bank Rakyat Indonesia (Persero,3790.0,3800.0,3710.0,3770.0,215606400
2026-02-10,BBRI,Bank Rakyat Indonesia (Persero,3750.0,3790.0,3730.0,3780.0,181835800
2026-02-11,BBRI,Bank Rakyat Indonesia (Persero,3790.0,3800.0,3740.0,3800.0,147378100
2026-02-12,BBRI,Bank Rakyat Indonesia (Persero,3780.0,3790.0,3760.0,3790.0,185678800
2026-02-13,BBRI,Bank Rakyat Indonesia (Persero,3780.0,3800.0,3750.0,3780.0,144473700
2026-02-18,BBRI,Bank Rakyat Indonesia (Persero,3780.0,3840.0,3760.0,3830.0,135223700
2026-02-19,BBRI,Bank Rakyat Indonesia (Persero,3850.0,3850.0,3770.0,3770.0,154562300
2026-02-20,BBRI,Bank Rakyat Indonesia (Persero,3790.0,3870.0,3780.0,3840.0,191533500
2026-02-23,BBRI,Bank Rakyat Indonesia (Persero,3880.0,3910.0,3860.0,3900.0,193417800
