date,kode,nama,open,high,low,close,volume
2026-01-22,BBKP,Bank KB Indonesia Tbk.,87.0,89.0,83.0,83.0,537108700
2026-01-23,BBKP,Bank KB Indonesia Tbk.,84.0,86.0,80.0,85.0,397018100
2026-01-26,BBKP,Bank KB Indonesia Tbk.,86.0,86.0,81.0,81.0,225348600
2026-01-27,BBKP,Bank KB Indonesia Tbk.,81.0,83.0,80.0,81.0,149573100
2026-01-28,BBKP,Bank KB Indonesia Tbk.,80.0,81.0,75.0,77.0,498386000
2026-01-29,BBKP,Bank KB Indonesia Tbk.,76.0,77.0,66.0,75.0,480742400
2026-01-30,BBKP,Bank KB Indonesia Tbk.,76.0,78.0,74.0,75.0,350901700
2026-02-02,BBKP,Bank KB Indonesia Tbk.,76.0,76.0,70.0,72.0,250099900
2026-02-03,BBKP,Bank KB Indonesia Tbk.,73.0,75.0,70.0,75.0,169347000
2026-02-04,BBKP,Bank KB Indonesia Tbk.,75.0,76.0,73.0,75.0,103441500
2026-02-05,BBKP,Bank KB Indonesia Tbk.,76.0,76.0,73.0,74.0,94964500
2026-02-06,BBKP,Bank KB Indonesia Tbk.,72.0,74.0,72.0,73.0,82319600
2026-02-09,BBKP,Bank KB Indonesia Tbk.,73.0,74.0,71.0,72.0,61933900
2026-02-10,BBKP,Bank KB Indonesia Tbk.,72.0,76.0,72.0,74.0,149549700
2026-02-11,BBKP,Bank KB Indonesia Tbk.,75.0,76.0,73.0,75.0,97613300
2026-02-12,BBKP,Bank KB Indonesia Tbk.,75.0,75.0,73.0,74.0,85020500
2026-02-13,BBKP,Bank KB Indonesia Tbk.,74.0,74.0,72.0,73.0,44590200
2026-02-18,BBKP,Bank KB Indonesia Tbk.,73.0,75.0,73.0,73.0,73865700
2026-02-19,BBKP,Bank KB Indonesia Tbk.,74.0,74.0,73.0,73.0,56752300
2026-02-20,BBKP,Bank KB Indonesia Tbk.,73.0,74.0,72.0,73.0,83427600
2026-02-23,BBKP,Bank KB Indonesia Tbk.,73.0,77.0,73.0,76.0,272730500
2026-02-24,BBKP,Bank KB Indonesia Tbk.,75.0,76.0,73.0,74.0,137726400
2026-02-25,BBKP,Bank KB Indonesia Tbk.,74.0,76.0,73.0,75.0,83716900
2026-02-26,BBKP,Bank KB Indonesia Tbk.,75.0,75.0,73.0,74.0,98469500
2026-02-27,BBKP,Bank KB Indonesia Tbk.,74.0,75.0,72.0,72.0,143224900
2026-03-02,BBKP,Bank KB Indonesia Tbk.,70.0,71.0,68.0,68.0,298900700
2026-03-03,BBKP,Bank KB Indonesia Tbk.,68.0,69.0,67.0,67.0,172937800
2026-03-04,BBKP,Bank KB Indonesia Tbk.,67.0,67.0,63.0,65.0,268936400
2026-03-05,BBKP,Bank KB Indonesia Tbk.,66.0,67.0,65.0,65.0,99309100
2026-03-06,BBKP,Bank KB Indonesia Tbk.,65.0,66.0,62.0,64.0,114256800
2026-03-09,BBKP,Bank KB Indonesia Tbk.,61.0,63.0,60.0,62.0,135533600
2026-03-10,BBKP,Bank KB Indonesia Tbk.,63.0,65.0,62.0,64.0,75467200
2026-03-11,BBKP,Bank KB Indonesia Tbk.,65.0,65.0,62.0,63.0,47057700
2026-03-12,BBKP,Bank KB Indonesia Tbk.,63.0,63.0,61.0,62.0,33057000
2026-03-13,BBKP,Bank KB Indonesia Tbk.,62.0,62.0,60.0,,61168200
2026-03-16,BBKP,Bank KB Indonesia Tbk.,60.0,61.0,58.0,,54923100
2026-03-17,BBKP,Bank KB Indonesia Tbk.,60.0,64.0,60.0,,68595100
2026-03-25,BBKP,Bank KB Indonesia Tbk.,61.0,64.0,60.0,63.0,58489800
2026-03-26,BBKP,Bank KB Indonesia Tbk.,64.0,64.0,62.0,,21722300
2026-03-27,BBKP,Bank KB Indonesia Tbk.,62.0,63.0,61.0,61.0,22606900
