date,kode,nama,open,high,low,close,volume
2026-01-22,DNAR,Bank Oke Indonesia Tbk.,183.0,187.0,180.0,180.0,5005400
2026-01-23,DNAR,Bank Oke Indonesia Tbk.,180.0,180.0,171.0,174.0,6388300
2026-01-26,DNAR,Bank Oke Indonesia Tbk.,175.0,177.0,168.0,169.0,3705100
2026-01-27,DNAR,Bank Oke Indonesia Tbk.,169.0,170.0,163.0,169.0,3833900
2026-01-28,DNAR,Bank Oke Indonesia Tbk.,168.0,168.0,145.0,149.0,8472400
2026-01-29,DNAR,Bank Oke Indonesia Tbk.,143.0,148.0,127.0,147.0,7909800
2026-01-30,DNAR,Bank Oke Indonesia Tbk.,147.0,156.0,147.0,153.0,2591700
2026-02-02,DNAR,Bank Oke Indonesia Tbk.,154.0,154.0,135.0,135.0,2899200
2026-02-03,DNAR,Bank Oke Indonesia Tbk.,138.0,148.0,135.0,144.0,2510300
2026-02-04,DNAR,Bank Oke Indonesia Tbk.,144.0,154.0,143.0,150.0,2168600
2026-02-05,DNAR,Bank Oke Indonesia Tbk.,150.0,155.0,149.0,150.0,1578400
2026-02-06,DNAR,Bank Oke Indonesia Tbk.,148.0,150.0,142.0,143.0,955100
2026-02-09,DNAR,Bank Oke Indonesia Tbk.,143.0,147.0,141.0,145.0,796300
2026-02-10,DNAR,Bank Oke Indonesia Tbk.,145.0,149.0,143.0,148.0,1121300
2026-02-11,DNAR,Bank Oke Indonesia Tbk.,148.0,159.0,148.0,156.0,3520300
2026-02-12,DNAR,Bank Oke Indonesia Tbk.,158.0,163.0,154.0,161.0,3359600
2026-02-13,DNAR,Bank Oke Indonesia Tbk.,161.0,161.0,155.0,157.0,2382500
2026-02-18,DNAR,Bank Oke Indonesia Tbk.,157.0,161.0,154.0,156.0,1710000
2026-02-19,DNAR,Bank Oke Indonesia Tbk.,155.0,161.0,155.0,159.0,1890100
2026-02-20,DNAR,Bank Oke Indonesia Tbk.,160.0,161.0,157.0,158.0,1543400
2026-02-23,DNAR,Bank Oke Indonesia Tbk.,159.0,165.0,159.0,159.0,3504100
2026-02-24,DNAR,Bank Oke Indonesia Tbk.,158.0,161.0,156.0,157.0,1775200
2026-02-25,DNAR,Bank Oke Indonesia Tbk.,156.0,159.0,155.0,155.0,1043800
2026-02-26,DNAR,Bank Oke Indonesia Tbk.,156.0,156.0,138.0,138.0,2262700
2026-02-27,DNAR,Bank Oke Indonesia Tbk.,140.0,175.0,140.0,160.0,42534100
2026-03-02,DNAR,Bank Oke Indonesia Tbk.,152.0,152.0,136.0,145.0,6092700
2026-03-03,DNAR,Bank Oke Indonesia Tbk.,145.0,149.0,140.0,144.0,1493100
2026-03-04,DNAR,Bank Oke Indonesia Tbk.,143.0,146.0,135.0,139.0,4332200
2026-03-05,DNAR,Bank Oke Indonesia Tbk.,139.0,144.0,137.0,142.0,1440000
2026-03-06,DNAR,Bank Oke Indonesia Tbk.,144.0,146.0,141.0,141.0,849700
2026-03-09,DNAR,Bank Oke Indonesia Tbk.,142.0,142.0,129.0,132.0,1802800
2026-03-10,DNAR,Bank Oke Indonesia Tbk.,132.0,137.0,132.0,133.0,1249000
2026-03-11,DNAR,Bank Oke Indonesia Tbk.,135.0,138.0,132.0,135.0,1544600
2026-03-12,DNAR,Bank Oke Indonesia Tbk.,137.0,139.0,134.0,135.0,1722100
2026-03-13,DNAR,Bank Oke Indonesia Tbk.,134.0,136.0,129.0,,2288000
2026-03-16,DNAR,Bank Oke Indonesia Tbk.,134.0,134.0,126.0,,1217300
2026-03-17,DNAR,Bank Oke Indonesia Tbk.,129.0,133.0,129.0,,858400
2026-03-25,DNAR,Bank Oke Indonesia Tbk.,128.0,133.0,127.0,131.0,1844000
2026-03-26,DNAR,Bank Oke Indonesia Tbk.,132.0,133.0,130.0,,931800
2026-03-27,DNAR,Bank Oke Indonesia Tbk.,132.0,132.0,128.0,129.0,878400
2026-03-30,DNAR,Bank Oke Indonesia Tbk.,131.0,137.0,127.0,128.0,3779500
2026-03-31,DNAR,Bank Oke Indonesia Tbk.,129.0,129.0,126.0,126.0,1313600
2026-04-01,DNAR,Bank Oke Indonesia Tbk.,126.0,130.0,126.0,129.0,1262000
2026-04-02,DNAR,Bank Oke Indonesia Tbk.,129.0,130.0,127.0,128.0,1550500
2026-04-06,DNAR,Bank Oke Indonesia Tbk.,128.0,129.0,126.0,128.0,762300
2026-04-07,DNAR,Bank Oke Indonesia Tbk.,128.0,134.0,127.0,130.0,2368100
2026-04-08,DNAR,Bank Oke Indonesia Tbk.,132.0,135.0,131.0,133.0,1911900
2026-04-09,DNAR,Bank Oke Indonesia Tbk.,133.0,134.0,130.0,131.0,662800
2026-04-10,DNAR,Bank Oke Indonesia Tbk.,132.0,134.0,130.0,134.0,1697400
2026-04-13,DNAR,Bank Oke Indonesia Tbk.,134.0,137.0,131.0,134.0,1639800
2026-04-14,DNAR,Bank Oke Indonesia Tbk.,134.0,138.0,134.0,137.0,1349200
2026-04-15,DNAR,Bank Oke Indonesia Tbk.,139.0,153.0,138.0,144.0,5987200
2026-04-16,DNAR,Bank Oke Indonesia Tbk.,152.0,156.0,144.0,148.0,4119800
2026-04-17,DNAR,Bank Oke Indonesia Tbk.,148.0,149.0,144.0,146.0,1298600
2026-04-20,DNAR,Bank Oke Indonesia Tbk.,144.0,148.0,143.0,144.0,1122400
2026-04-21,DNAR,Bank Oke Indonesia Tbk.,145.0,145.0,140.0,142.0,1008200
2026-04-22,DNAR,Bank Oke Indonesia Tbk.,142.0,147.0,142.0,147.0,837800
2026-04-23,DNAR,Bank Oke Indonesia Tbk.,148.0,149.0,143.0,145.0,620800
2026-04-24,DNAR,Bank Oke Indonesia Tbk.,145.0,145.0,135.0,143.0,1736900
2026-04-27,DNAR,Bank Oke Indonesia Tbk.,138.0,143.0,138.0,142.0,725400
2026-04-28,DNAR,Bank Oke Indonesia Tbk.,144.0,144.0,139.0,141.0,831600
2026-04-29,DNAR,Bank Oke Indonesia Tbk.,144.0,161.0,140.0,146.0,14460800
2026-04-30,DNAR,Bank Oke Indonesia Tbk.,147.0,154.0,143.0,144.0,6581000
2026-05-01,DNAR,Bank Oke Indonesia Tbk.,,,,,
