date,kode,nama,open,high,low,close,volume
2026-01-22,PNBN,Bank Pan Indonesia Tbk,1110.0,1140.0,1100.0,1125.0,11977300
2026-01-23,PNBN,Bank Pan Indonesia Tbk,1125.0,1125.0,1095.0,1115.0,13643200
2026-01-26,PNBN,Bank Pan Indonesia Tbk,1120.0,1120.0,1100.0,1100.0,11918400
2026-01-27,PNBN,Bank Pan Indonesia Tbk,1105.0,1105.0,1085.0,1090.0,11170400
2026-01-28,PNBN,Bank Pan Indonesia Tbk,1085.0,1090.0,1040.0,1040.0,43354900
2026-01-29,PNBN,Bank Pan Indonesia Tbk,1035.0,1040.0,955.0,1040.0,33079200
2026-01-30,PNBN,Bank Pan Indonesia Tbk,1030.0,1085.0,1020.0,1075.0,14188000
2026-02-02,PNBN,Bank Pan Indonesia Tbk,1085.0,1085.0,1030.0,1030.0,16168700
2026-02-03,PNBN,Bank Pan Indonesia Tbk,1055.0,1065.0,1040.0,1055.0,9103900
2026-02-04,PNBN,Bank Pan Indonesia Tbk,1055.0,1070.0,1050.0,1060.0,5896500
2026-02-05,PNBN,Bank Pan Indonesia Tbk,1070.0,1080.0,1065.0,1065.0,3725400
2026-02-06,PNBN,Bank Pan Indonesia Tbk,1050.0,1060.0,1020.0,1050.0,23462900
2026-02-09,PNBN,Bank Pan Indonesia Tbk,1055.0,1065.0,1035.0,1050.0,5526800
2026-02-10,PNBN,Bank Pan Indonesia Tbk,1060.0,1070.0,1050.0,1060.0,5301100
2026-02-11,PNBN,Bank Pan Indonesia Tbk,1060.0,1085.0,1055.0,1065.0,7645600
2026-02-12,PNBN,Bank Pan Indonesia Tbk,1070.0,1070.0,1050.0,1055.0,15231900
2026-02-13,PNBN,Bank Pan Indonesia Tbk,1060.0,1105.0,1055.0,1100.0,18466300
2026-02-18,PNBN,Bank Pan Indonesia Tbk,1090.0,1110.0,1085.0,1090.0,5684400
2026-02-19,PNBN,Bank Pan Indonesia Tbk,1090.0,1110.0,1080.0,1095.0,10277900
2026-02-20,PNBN,Bank Pan Indonesia Tbk,1095.0,1110.0,1085.0,1110.0,7969200
2026-02-23,PNBN,Bank Pan Indonesia Tbk,1115.0,1115.0,1100.0,1105.0,8581900
2026-02-24,PNBN,Bank Pan Indonesia Tbk,1110.0,1110.0,1095.0,1100.0,3623500
2026-02-25,PNBN,Bank Pan Indonesia Tbk,1100.0,1105.0,1090.0,1100.0,3138900
2026-02-26,PNBN,Bank Pan Indonesia Tbk,1100.0,1105.0,1065.0,1075.0,8458900
2026-02-27,PNBN,Bank Pan Indonesia Tbk,1080.0,1080.0,1060.0,1075.0,2963000
2026-03-02,PNBN,Bank Pan Indonesia Tbk,1060.0,1070.0,1040.0,1050.0,13556500
2026-03-03,PNBN,Bank Pan Indonesia Tbk,1060.0,1060.0,1040.0,1045.0,7083700
2026-03-04,PNBN,Bank Pan Indonesia Tbk,1045.0,1045.0,1005.0,1015.0,11677500
2026-03-05,PNBN,Bank Pan Indonesia Tbk,1030.0,1040.0,1010.0,1020.0,9482700
2026-03-06,PNBN,Bank Pan Indonesia Tbk,1025.0,1050.0,1020.0,1040.0,6669300
2026-03-09,PNBN,Bank Pan Indonesia Tbk,1015.0,1020.0,995.0,995.0,12494300
2026-03-10,PNBN,Bank Pan Indonesia Tbk,1005.0,1015.0,1000.0,1015.0,1883700
2026-03-11,PNBN,Bank Pan Indonesia Tbk,1015.0,1020.0,1000.0,1000.0,2645500
2026-03-12,PNBN,Bank Pan Indonesia Tbk,1000.0,1010.0,995.0,1000.0,1928200
2026-03-13,PNBN,Bank Pan Indonesia Tbk,1000.0,1005.0,990.0,,1768600
2026-03-16,PNBN,Bank Pan Indonesia Tbk,990.0,990.0,965.0,,8733300
2026-03-17,PNBN,Bank Pan Indonesia Tbk,985.0,1000.0,980.0,,6112200
2026-03-25,PNBN,Bank Pan Indonesia Tbk,985.0,1005.0,985.0,995.0,1626700
2026-03-26,PNBN,Bank Pan Indonesia Tbk,1000.0,1000.0,990.0,,560200
2026-03-27,PNBN,Bank Pan Indonesia Tbk,990.0,995.0,975.0,980.0,3094900
2026-03-30,PNBN,Bank Pan Indonesia Tbk,975.0,975.0,960.0,960.0,4411300
2026-03-31,PNBN,Bank Pan Indonesia Tbk,960.0,975.0,940.0,945.0,5691700
2026-04-01,PNBN,Bank Pan Indonesia Tbk,955.0,965.0,940.0,945.0,4175100
2026-04-02,PNBN,Bank Pan Indonesia Tbk,955.0,955.0,940.0,940.0,1627700
2026-04-06,PNBN,Bank Pan Indonesia Tbk,950.0,955.0,940.0,945.0,1186900
2026-04-07,PNBN,Bank Pan Indonesia Tbk,945.0,955.0,935.0,935.0,1814100
2026-04-08,PNBN,Bank Pan Indonesia Tbk,950.0,975.0,945.0,955.0,2106600
2026-04-09,PNBN,Bank Pan Indonesia Tbk,960.0,970.0,945.0,945.0,1501600
2026-04-10,PNBN,Bank Pan Indonesia Tbk,960.0,965.0,950.0,955.0,2940800
2026-04-13,PNBN,Bank Pan Indonesia Tbk,950.0,955.0,945.0,950.0,2339300
