date,kode,nama,open,high,low,close,volume
2026-01-22,NISP,Bank OCBC NISP Tbk.,1445.0,1460.0,1430.0,1460.0,4355700
2026-01-23,NISP,Bank OCBC NISP Tbk.,1460.0,1470.0,1435.0,1465.0,3907600
2026-01-26,NISP,Bank OCBC NISP Tbk.,1470.0,1470.0,1450.0,1450.0,2397700
2026-01-27,NISP,Bank OCBC NISP Tbk.,1450.0,1460.0,1435.0,1445.0,3366900
2026-01-28,NISP,Bank OCBC NISP Tbk.,1445.0,1445.0,1385.0,1410.0,15064000
2026-01-29,NISP,Bank OCBC NISP Tbk.,1410.0,1420.0,1330.0,1415.0,16567900
2026-01-30,NISP,Bank OCBC NISP Tbk.,1415.0,1445.0,1415.0,1440.0,4044100
2026-02-02,NISP,Bank OCBC NISP Tbk.,1440.0,1445.0,1425.0,1430.0,5272300
2026-02-03,NISP,Bank OCBC NISP Tbk.,1450.0,1465.0,1440.0,1465.0,5306800
2026-02-04,NISP,Bank OCBC NISP Tbk.,1465.0,1485.0,1460.0,1485.0,5765600
2026-02-05,NISP,Bank OCBC NISP Tbk.,1490.0,1535.0,1485.0,1515.0,7924400
2026-02-06,NISP,Bank OCBC NISP Tbk.,1515.0,1540.0,1480.0,1540.0,5039600
2026-02-09,NISP,Bank OCBC NISP Tbk.,1540.0,1590.0,1530.0,1580.0,8700800
2026-02-10,NISP,Bank OCBC NISP Tbk.,1570.0,1590.0,1555.0,1565.0,5357500
2026-02-11,NISP,Bank OCBC NISP Tbk.,1565.0,1570.0,1530.0,1540.0,5292900
2026-02-12,NISP,Bank OCBC NISP Tbk.,1550.0,1565.0,1540.0,1545.0,1824100
2026-02-13,NISP,Bank OCBC NISP Tbk.,1545.0,1550.0,1535.0,1540.0,2623600
2026-02-18,NISP,Bank OCBC NISP Tbk.,1540.0,1570.0,1530.0,1550.0,4060700
2026-02-19,NISP,Bank OCBC NISP Tbk.,1550.0,1560.0,1530.0,1535.0,5279400
2026-02-20,NISP,Bank OCBC NISP Tbk.,1540.0,1550.0,1520.0,1530.0,3068000
2026-02-23,NISP,Bank OCBC NISP Tbk.,1550.0,1555.0,1535.0,1545.0,1856500
2026-02-24,NISP,Bank OCBC NISP Tbk.,1550.0,1560.0,1535.0,1550.0,7976100
2026-02-25,NISP,Bank OCBC NISP Tbk.,1555.0,1560.0,1545.0,1555.0,1609300
2026-02-26,NISP,Bank OCBC NISP Tbk.,1560.0,1570.0,1550.0,1550.0,1808000
2026-02-27,NISP,Bank OCBC NISP Tbk.,1550.0,1560.0,1535.0,1535.0,3317400
2026-03-02,NISP,Bank OCBC NISP Tbk.,1515.0,1525.0,1495.0,1495.0,16777200
2026-03-03,NISP,Bank OCBC NISP Tbk.,1495.0,1515.0,1490.0,1500.0,7557800
2026-03-04,NISP,Bank OCBC NISP Tbk.,1500.0,1500.0,1475.0,1480.0,5693400
2026-03-05,NISP,Bank OCBC NISP Tbk.,1485.0,1520.0,1485.0,1495.0,2224900
2026-03-06,NISP,Bank OCBC NISP Tbk.,1505.0,1510.0,1480.0,1495.0,1346400
2026-03-09,NISP,Bank OCBC NISP Tbk.,1475.0,1490.0,1425.0,1490.0,19100000
2026-03-10,NISP,Bank OCBC NISP Tbk.,1490.0,1490.0,1465.0,1465.0,2491700
2026-03-11,NISP,Bank OCBC NISP Tbk.,1470.0,1490.0,1470.0,1480.0,3993300
2026-03-12,NISP,Bank OCBC NISP Tbk.,1500.0,1500.0,1465.0,1465.0,4679200
2026-03-13,NISP,Bank OCBC NISP Tbk.,1465.0,1475.0,1450.0,,3439900
2026-03-16,NISP,Bank OCBC NISP Tbk.,1450.0,1455.0,1425.0,,6571000
