date,kode,nama,open,high,low,close,volume
2026-01-22,TRIM,Trimegah Sekuritas Indonesia T,710.0,785.0,700.0,760.0,5621800
2026-01-23,TRIM,Trimegah Sekuritas Indonesia T,765.0,800.0,735.0,765.0,2739100
2026-01-26,TRIM,Trimegah Sekuritas Indonesia T,770.0,790.0,710.0,745.0,1081400
2026-01-27,TRIM,Trimegah Sekuritas Indonesia T,745.0,745.0,720.0,720.0,383900
2026-01-28,TRIM,Trimegah Sekuritas Indonesia T,720.0,720.0,615.0,660.0,1391700
2026-01-29,TRIM,Trimegah Sekuritas Indonesia T,665.0,670.0,565.0,655.0,2346200
2026-01-30,TRIM,Trimegah Sekuritas Indonesia T,655.0,665.0,600.0,610.0,1295600
2026-02-02,TRIM,Trimegah Sekuritas Indonesia T,575.0,660.0,520.0,620.0,4101400
2026-02-03,TRIM,Trimegah Sekuritas Indonesia T,620.0,650.0,570.0,640.0,3072100
2026-02-04,TRIM,Trimegah Sekuritas Indonesia T,640.0,650.0,625.0,640.0,1618100
2026-02-05,TRIM,Trimegah Sekuritas Indonesia T,650.0,685.0,630.0,640.0,370900
