date,kode,nama,open,high,low,close,volume
2026-01-22,BNBA,Bank Bumi Arta Tbk.,1205.0,1220.0,1115.0,1120.0,4108200
2026-01-23,BNBA,Bank Bumi Arta Tbk.,1140.0,1140.0,955.0,1050.0,6766500
2026-01-26,BNBA,Bank Bumi Arta Tbk.,1050.0,1075.0,995.0,995.0,2285600
2026-01-27,BNBA,Bank Bumi Arta Tbk.,995.0,1045.0,980.0,1010.0,1449700
2026-01-28,BNBA,Bank Bumi Arta Tbk.,975.0,1040.0,895.0,910.0,4791400
2026-01-29,BNBA,Bank Bumi Arta Tbk.,875.0,995.0,800.0,960.0,5348200
2026-01-30,BNBA,Bank Bumi Arta Tbk.,1000.0,1000.0,940.0,980.0,1693400
2026-02-02,BNBA,Bank Bumi Arta Tbk.,985.0,995.0,835.0,840.0,4113800
2026-02-03,BNBA,Bank Bumi Arta Tbk.,825.0,875.0,825.0,875.0,1220600
2026-02-04,BNBA,Bank Bumi Arta Tbk.,875.0,890.0,855.0,865.0,799100
2026-02-05,BNBA,Bank Bumi Arta Tbk.,860.0,885.0,825.0,870.0,550200
2026-02-06,BNBA,Bank Bumi Arta Tbk.,825.0,855.0,805.0,815.0,1254200
2026-02-09,BNBA,Bank Bumi Arta Tbk.,805.0,840.0,800.0,835.0,1509000
2026-02-10,BNBA,Bank Bumi Arta Tbk.,810.0,840.0,810.0,840.0,262400
2026-02-11,BNBA,Bank Bumi Arta Tbk.,840.0,860.0,825.0,855.0,1302000
2026-02-12,BNBA,Bank Bumi Arta Tbk.,845.0,890.0,845.0,885.0,1006300
2026-02-13,BNBA,Bank Bumi Arta Tbk.,900.0,900.0,870.0,870.0,361500
2026-02-18,BNBA,Bank Bumi Arta Tbk.,860.0,885.0,855.0,865.0,169800
2026-02-19,BNBA,Bank Bumi Arta Tbk.,865.0,885.0,845.0,845.0,527700
2026-02-20,BNBA,Bank Bumi Arta Tbk.,855.0,890.0,850.0,870.0,593000
2026-02-23,BNBA,Bank Bumi Arta Tbk.,870.0,895.0,860.0,875.0,404500
2026-02-24,BNBA,Bank Bumi Arta Tbk.,875.0,950.0,865.0,895.0,2710700
2026-02-25,BNBA,Bank Bumi Arta Tbk.,900.0,915.0,855.0,865.0,806400
2026-02-26,BNBA,Bank Bumi Arta Tbk.,880.0,895.0,845.0,845.0,689800
2026-02-27,BNBA,Bank Bumi Arta Tbk.,845.0,845.0,825.0,840.0,561300
2026-03-02,BNBA,Bank Bumi Arta Tbk.,820.0,820.0,775.0,775.0,2036800
2026-03-03,BNBA,Bank Bumi Arta Tbk.,775.0,805.0,775.0,785.0,389600
2026-03-04,BNBA,Bank Bumi Arta Tbk.,780.0,785.0,725.0,740.0,2197500
2026-03-05,BNBA,Bank Bumi Arta Tbk.,740.0,775.0,705.0,775.0,896300
2026-03-06,BNBA,Bank Bumi Arta Tbk.,775.0,775.0,725.0,755.0,275400
2026-03-09,BNBA,Bank Bumi Arta Tbk.,745.0,745.0,690.0,725.0,1113700
2026-03-10,BNBA,Bank Bumi Arta Tbk.,730.0,775.0,695.0,740.0,1618800
2026-03-11,BNBA,Bank Bumi Arta Tbk.,740.0,765.0,700.0,705.0,1147800
2026-03-12,BNBA,Bank Bumi Arta Tbk.,715.0,715.0,670.0,670.0,519900
2026-03-13,BNBA,Bank Bumi Arta Tbk.,670.0,680.0,640.0,,650000
2026-03-16,BNBA,Bank Bumi Arta Tbk.,620.0,625.0,600.0,,690600
2026-03-17,BNBA,Bank Bumi Arta Tbk.,620.0,630.0,600.0,,464600
2026-03-25,BNBA,Bank Bumi Arta Tbk.,615.0,640.0,610.0,635.0,172900
2026-03-26,BNBA,Bank Bumi Arta Tbk.,635.0,655.0,635.0,,214700
2026-03-27,BNBA,Bank Bumi Arta Tbk.,650.0,650.0,625.0,630.0,141400
2026-03-30,BNBA,Bank Bumi Arta Tbk.,630.0,630.0,610.0,630.0,146700
2026-03-31,BNBA,Bank Bumi Arta Tbk.,635.0,650.0,625.0,635.0,71000
2026-04-01,BNBA,Bank Bumi Arta Tbk.,640.0,655.0,630.0,650.0,121100
