date,kode,nama,open,high,low,close,volume
2026-01-22,AHAP,Asuransi Harta Aman Pratama Tb,170.0,174.0,155.0,155.0,60626400
2026-01-23,AHAP,Asuransi Harta Aman Pratama Tb,150.0,150.0,143.0,145.0,30542100
2026-01-26,AHAP,Asuransi Harta Aman Pratama Tb,150.0,159.0,150.0,159.0,19855000
2026-01-27,AHAP,Asuransi Harta Aman Pratama Tb,158.0,158.0,146.0,152.0,9463700
2026-01-28,AHAP,Asuransi Harta Aman Pratama Tb,137.0,137.0,137.0,137.0,23846900
2026-01-29,AHAP,Asuransi Harta Aman Pratama Tb,124.0,130.0,124.0,124.0,10238600
2026-01-30,AHAP,Asuransi Harta Aman Pratama Tb,132.0,164.0,117.0,154.0,351900100
2026-02-02,AHAP,Asuransi Harta Aman Pratama Tb,154.0,155.0,131.0,131.0,79969200
2026-02-03,AHAP,Asuransi Harta Aman Pratama Tb,122.0,137.0,112.0,135.0,144212100
2026-02-04,AHAP,Asuransi Harta Aman Pratama Tb,136.0,141.0,122.0,124.0,69068800
2026-02-05,AHAP,Asuransi Harta Aman Pratama Tb,124.0,146.0,122.0,136.0,177420500
2026-02-06,AHAP,Asuransi Harta Aman Pratama Tb,129.0,134.0,120.0,122.0,64849000
2026-02-09,AHAP,Asuransi Harta Aman Pratama Tb,124.0,126.0,117.0,121.0,38543000
2026-02-10,AHAP,Asuransi Harta Aman Pratama Tb,121.0,133.0,120.0,129.0,50651000
2026-02-11,AHAP,Asuransi Harta Aman Pratama Tb,131.0,145.0,129.0,136.0,152753700
2026-02-12,AHAP,Asuransi Harta Aman Pratama Tb,138.0,141.0,130.0,131.0,48643900
2026-02-13,AHAP,Asuransi Harta Aman Pratama Tb,129.0,135.0,126.0,130.0,41432900
2026-02-18,AHAP,Asuransi Harta Aman Pratama Tb,131.0,134.0,127.0,128.0,52757700
2026-02-19,AHAP,Asuransi Harta Aman Pratama Tb,131.0,143.0,128.0,135.0,140483800
2026-02-20,AHAP,Asuransi Harta Aman Pratama Tb,136.0,174.0,136.0,145.0,757918500
2026-02-23,AHAP,Asuransi Harta Aman Pratama Tb,150.0,156.0,145.0,152.0,106812900
2026-02-24,AHAP,Asuransi Harta Aman Pratama Tb,151.0,163.0,143.0,144.0,197498400
2026-02-25,AHAP,Asuransi Harta Aman Pratama Tb,144.0,168.0,143.0,166.0,226852200
2026-02-26,AHAP,Asuransi Harta Aman Pratama Tb,169.0,187.0,160.0,169.0,1069337900
2026-02-27,AHAP,Asuransi Harta Aman Pratama Tb,171.0,175.0,156.0,162.0,168081800
2026-03-02,AHAP,Asuransi Harta Aman Pratama Tb,150.0,158.0,138.0,138.0,152275000
2026-03-03,AHAP,Asuransi Harta Aman Pratama Tb,134.0,141.0,130.0,137.0,82010900
2026-03-04,AHAP,Asuransi Harta Aman Pratama Tb,134.0,134.0,120.0,123.0,89057600
2026-03-05,AHAP,Asuransi Harta Aman Pratama Tb,129.0,137.0,128.0,129.0,47815500
2026-03-06,AHAP,Asuransi Harta Aman Pratama Tb,127.0,129.0,121.0,121.0,35245900
2026-03-09,AHAP,Asuransi Harta Aman Pratama Tb,110.0,115.0,103.0,108.0,69257000
2026-03-10,AHAP,Asuransi Harta Aman Pratama Tb,115.0,122.0,110.0,118.0,85902900
