date,kode,nama,open,high,low,close,volume
2026-01-22,BMAS,Bank Maspion Indonesia Tbk.,630.0,640.0,610.0,630.0,3400
2026-01-23,BMAS,Bank Maspion Indonesia Tbk.,610.0,620.0,605.0,620.0,9200
2026-01-26,BMAS,Bank Maspion Indonesia Tbk.,620.0,620.0,605.0,615.0,7800
2026-01-27,BMAS,Bank Maspion Indonesia Tbk.,620.0,620.0,575.0,605.0,14400
2026-01-28,BMAS,Bank Maspion Indonesia Tbk.,605.0,605.0,580.0,600.0,18900
2026-01-29,BMAS,Bank Maspion Indonesia Tbk.,610.0,610.0,570.0,600.0,10400
2026-01-30,BMAS,Bank Maspion Indonesia Tbk.,555.0,645.0,555.0,600.0,16600
2026-02-02,BMAS,Bank Maspion Indonesia Tbk.,570.0,570.0,560.0,565.0,7600
2026-02-03,BMAS,Bank Maspion Indonesia Tbk.,560.0,585.0,535.0,580.0,171300
2026-02-04,BMAS,Bank Maspion Indonesia Tbk.,580.0,615.0,560.0,580.0,8600
2026-02-05,BMAS,Bank Maspion Indonesia Tbk.,560.0,595.0,555.0,585.0,24100
2026-02-06,BMAS,Bank Maspion Indonesia Tbk.,585.0,585.0,498.0,500.0,458800
2026-02-09,BMAS,Bank Maspion Indonesia Tbk.,500.0,530.0,496.0,500.0,67600
2026-02-10,BMAS,Bank Maspion Indonesia Tbk.,500.0,500.0,494.0,496.0,73700
2026-02-11,BMAS,Bank Maspion Indonesia Tbk.,505.0,530.0,496.0,500.0,26300
2026-02-12,BMAS,Bank Maspion Indonesia Tbk.,510.0,510.0,498.0,500.0,129100
2026-02-13,BMAS,Bank Maspion Indonesia Tbk.,500.0,500.0,492.0,500.0,45600
2026-02-18,BMAS,Bank Maspion Indonesia Tbk.,500.0,500.0,496.0,496.0,61100
2026-02-19,BMAS,Bank Maspion Indonesia Tbk.,494.0,500.0,494.0,498.0,9300
2026-02-20,BMAS,Bank Maspion Indonesia Tbk.,500.0,500.0,494.0,500.0,26200
2026-02-23,BMAS,Bank Maspion Indonesia Tbk.,498.0,505.0,498.0,505.0,32000
2026-02-24,BMAS,Bank Maspion Indonesia Tbk.,505.0,505.0,496.0,500.0,15900
2026-02-25,BMAS,Bank Maspion Indonesia Tbk.,505.0,515.0,494.0,500.0,76300
2026-02-26,BMAS,Bank Maspion Indonesia Tbk.,500.0,500.0,492.0,500.0,4800
2026-02-27,BMAS,Bank Maspion Indonesia Tbk.,496.0,498.0,496.0,498.0,8500
2026-03-02,BMAS,Bank Maspion Indonesia Tbk.,498.0,500.0,490.0,500.0,8900
2026-03-03,BMAS,Bank Maspion Indonesia Tbk.,500.0,500.0,492.0,500.0,15200
2026-03-04,BMAS,Bank Maspion Indonesia Tbk.,494.0,500.0,492.0,494.0,6200
2026-03-05,BMAS,Bank Maspion Indonesia Tbk.,496.0,496.0,496.0,496.0,1200
