date,kode,nama,open,high,low,close,volume
2026-01-22,VTNY,Venteny Fortuna International,95.0,98.0,94.0,96.0,26868800
2026-01-23,VTNY,Venteny Fortuna International,96.0,96.0,93.0,95.0,19556900
2026-01-26,VTNY,Venteny Fortuna International,95.0,95.0,93.0,94.0,16882100
2026-01-27,VTNY,Venteny Fortuna International,94.0,98.0,94.0,97.0,16766700
2026-01-28,VTNY,Venteny Fortuna International,97.0,97.0,86.0,93.0,30320900
2026-01-29,VTNY,Venteny Fortuna International,90.0,91.0,84.0,90.0,26029100
2026-01-30,VTNY,Venteny Fortuna International,90.0,93.0,90.0,92.0,12212800
2026-02-02,VTNY,Venteny Fortuna International,92.0,93.0,81.0,84.0,15592500
2026-02-03,VTNY,Venteny Fortuna International,89.0,89.0,79.0,88.0,14229500
2026-02-04,VTNY,Venteny Fortuna International,88.0,89.0,86.0,87.0,11622700
2026-02-05,VTNY,Venteny Fortuna International,86.0,88.0,85.0,87.0,1586700
2026-02-06,VTNY,Venteny Fortuna International,87.0,87.0,82.0,86.0,1352000
2026-02-09,VTNY,Venteny Fortuna International,85.0,85.0,78.0,85.0,3757000
2026-02-10,VTNY,Venteny Fortuna International,84.0,89.0,84.0,85.0,1699800
2026-02-11,VTNY,Venteny Fortuna International,86.0,95.0,86.0,89.0,23953900
2026-02-12,VTNY,Venteny Fortuna International,89.0,89.0,86.0,86.0,4579800
2026-02-13,VTNY,Venteny Fortuna International,87.0,87.0,84.0,85.0,5987700
2026-02-18,VTNY,Venteny Fortuna International,85.0,88.0,85.0,88.0,14517700
2026-02-19,VTNY,Venteny Fortuna International,88.0,90.0,87.0,89.0,14746300
2026-02-20,VTNY,Venteny Fortuna International,90.0,90.0,87.0,87.0,5312700
2026-02-23,VTNY,Venteny Fortuna International,87.0,90.0,86.0,88.0,12983200
2026-02-24,VTNY,Venteny Fortuna International,89.0,90.0,87.0,87.0,14178300
2026-02-25,VTNY,Venteny Fortuna International,88.0,88.0,85.0,88.0,12956200
2026-02-26,VTNY,Venteny Fortuna International,88.0,88.0,84.0,86.0,14224300
2026-02-27,VTNY,Venteny Fortuna International,85.0,91.0,84.0,85.0,20970700
2026-03-02,VTNY,Venteny Fortuna International,84.0,84.0,79.0,81.0,17371500
2026-03-03,VTNY,Venteny Fortuna International,81.0,83.0,81.0,81.0,16816400
2026-03-04,VTNY,Venteny Fortuna International,82.0,82.0,72.0,75.0,19078900
