date,kode,nama,open,high,low,close,volume
2026-01-22,BSWD,Bank Of India Indonesia Tbk.,1045.0,1045.0,1045.0,1045.0,0
2026-01-23,BSWD,Bank Of India Indonesia Tbk.,1045.0,1045.0,1045.0,1045.0,0
2026-01-26,BSWD,Bank Of India Indonesia Tbk.,1050.0,1050.0,1050.0,1050.0,100
2026-01-27,BSWD,Bank Of India Indonesia Tbk.,1050.0,1050.0,1050.0,1050.0,0
2026-01-28,BSWD,Bank Of India Indonesia Tbk.,1055.0,1055.0,1055.0,1055.0,100
2026-01-29,BSWD,Bank Of India Indonesia Tbk.,1055.0,1055.0,1055.0,1055.0,0
2026-01-30,BSWD,Bank Of India Indonesia Tbk.,1055.0,1055.0,1055.0,1055.0,400
2026-02-02,BSWD,Bank Of India Indonesia Tbk.,1060.0,1060.0,1060.0,1060.0,100
2026-02-03,BSWD,Bank Of India Indonesia Tbk.,1165.0,1165.0,1165.0,1165.0,400
2026-02-04,BSWD,Bank Of India Indonesia Tbk.,1165.0,1165.0,1165.0,1165.0,0
2026-02-05,BSWD,Bank Of India Indonesia Tbk.,1165.0,1165.0,1165.0,1165.0,1200
2026-02-06,BSWD,Bank Of India Indonesia Tbk.,1165.0,1165.0,1165.0,1165.0,0
2026-02-09,BSWD,Bank Of India Indonesia Tbk.,1165.0,1165.0,1165.0,1165.0,100
2026-02-10,BSWD,Bank Of India Indonesia Tbk.,1165.0,1165.0,1165.0,1165.0,0
2026-02-11,BSWD,Bank Of India Indonesia Tbk.,1050.0,1050.0,1050.0,1050.0,300
2026-02-12,BSWD,Bank Of India Indonesia Tbk.,1050.0,1050.0,1050.0,1050.0,100
2026-02-13,BSWD,Bank Of India Indonesia Tbk.,1050.0,1155.0,1050.0,1155.0,1700
2026-02-18,BSWD,Bank Of India Indonesia Tbk.,1270.0,1270.0,1270.0,1270.0,900
2026-02-19,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,1000
2026-02-20,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,300
2026-02-23,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,0
2026-02-24,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,0
2026-02-25,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,0
2026-02-26,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,0
2026-02-27,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,0
2026-03-02,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,0
2026-03-03,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,100
2026-03-04,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,0
2026-03-05,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,0
2026-03-06,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,0
2026-03-09,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,0
2026-03-10,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,0
2026-03-11,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,0
2026-03-12,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,0
2026-03-13,BSWD,Bank Of India Indonesia Tbk.,,,,,
2026-03-16,BSWD,Bank Of India Indonesia Tbk.,,,,,
2026-03-17,BSWD,Bank Of India Indonesia Tbk.,,,,,
2026-03-25,BSWD,Bank Of India Indonesia Tbk.,1350.0,1350.0,1350.0,1350.0,0
2026-03-26,BSWD,Bank Of India Indonesia Tbk.,,,,,
