date,kode,nama,open,high,low,close,volume
2026-01-22,GSMF,Equity Development Investment,127.0,128.0,121.0,126.0,3250100
2026-01-23,GSMF,Equity Development Investment,127.0,127.0,118.0,124.0,6516700
2026-01-26,GSMF,Equity Development Investment,122.0,124.0,119.0,120.0,1773700
2026-01-27,GSMF,Equity Development Investment,120.0,156.0,115.0,120.0,386265500
2026-01-28,GSMF,Equity Development Investment,122.0,122.0,102.0,106.0,18133500
2026-01-29,GSMF,Equity Development Investment,105.0,105.0,91.0,98.0,11729600
2026-01-30,GSMF,Equity Development Investment,98.0,110.0,98.0,104.0,6710800
2026-02-02,GSMF,Equity Development Investment,104.0,108.0,96.0,99.0,4726700
2026-02-03,GSMF,Equity Development Investment,99.0,105.0,97.0,104.0,2103900
2026-02-04,GSMF,Equity Development Investment,100.0,108.0,100.0,102.0,1748500
2026-02-05,GSMF,Equity Development Investment,102.0,117.0,102.0,110.0,47585900
2026-02-06,GSMF,Equity Development Investment,110.0,110.0,101.0,104.0,7177500
2026-02-09,GSMF,Equity Development Investment,105.0,109.0,101.0,105.0,4392100
2026-02-10,GSMF,Equity Development Investment,105.0,119.0,102.0,109.0,18088400
2026-02-11,GSMF,Equity Development Investment,115.0,119.0,110.0,112.0,18247800
2026-02-12,GSMF,Equity Development Investment,112.0,117.0,110.0,116.0,5644500
2026-02-13,GSMF,Equity Development Investment,116.0,117.0,110.0,110.0,4955400
2026-02-18,GSMF,Equity Development Investment,111.0,112.0,108.0,110.0,3015400
2026-02-19,GSMF,Equity Development Investment,111.0,112.0,108.0,109.0,2834600
2026-02-20,GSMF,Equity Development Investment,110.0,111.0,108.0,109.0,1638000
2026-02-23,GSMF,Equity Development Investment,109.0,114.0,109.0,111.0,4149300
2026-02-24,GSMF,Equity Development Investment,112.0,115.0,109.0,109.0,3662800
2026-02-25,GSMF,Equity Development Investment,109.0,111.0,108.0,109.0,1774100
2026-02-26,GSMF,Equity Development Investment,109.0,111.0,107.0,109.0,2688400
2026-02-27,GSMF,Equity Development Investment,110.0,110.0,106.0,107.0,1210400
2026-03-02,GSMF,Equity Development Investment,104.0,107.0,100.0,100.0,3449600
2026-03-03,GSMF,Equity Development Investment,100.0,103.0,98.0,100.0,810200
2026-03-04,GSMF,Equity Development Investment,100.0,100.0,94.0,94.0,2686000
2026-03-05,GSMF,Equity Development Investment,96.0,103.0,96.0,96.0,277700
2026-03-06,GSMF,Equity Development Investment,96.0,98.0,93.0,93.0,410900
2026-03-09,GSMF,Equity Development Investment,92.0,93.0,85.0,86.0,2347100
