date,kode,nama,open,high,low,close,volume
2026-01-22,PEGE,Panca Global Kapital Tbk.,254.0,282.0,252.0,264.0,37660100
2026-01-23,PEGE,Panca Global Kapital Tbk.,272.0,272.0,234.0,258.0,24696800
2026-01-26,PEGE,Panca Global Kapital Tbk.,258.0,262.0,242.0,244.0,13650000
2026-01-27,PEGE,Panca Global Kapital Tbk.,238.0,248.0,234.0,244.0,7231400
2026-01-28,PEGE,Panca Global Kapital Tbk.,232.0,236.0,210.0,216.0,19375000
2026-01-29,PEGE,Panca Global Kapital Tbk.,200.0,232.0,184.0,218.0,21926200
2026-01-30,PEGE,Panca Global Kapital Tbk.,232.0,238.0,222.0,236.0,10124400
2026-02-02,PEGE,Panca Global Kapital Tbk.,236.0,236.0,202.0,202.0,14415100
2026-02-03,PEGE,Panca Global Kapital Tbk.,202.0,226.0,185.0,222.0,9989500
2026-02-04,PEGE,Panca Global Kapital Tbk.,222.0,224.0,208.0,220.0,5708400
2026-02-05,PEGE,Panca Global Kapital Tbk.,220.0,234.0,212.0,212.0,10719500
2026-02-06,PEGE,Panca Global Kapital Tbk.,197.0,210.0,191.0,206.0,5011500
2026-02-09,PEGE,Panca Global Kapital Tbk.,200.0,208.0,198.0,202.0,4501700
2026-02-10,PEGE,Panca Global Kapital Tbk.,200.0,220.0,200.0,218.0,3684200
2026-02-11,PEGE,Panca Global Kapital Tbk.,216.0,228.0,212.0,224.0,8822200
2026-02-12,PEGE,Panca Global Kapital Tbk.,224.0,226.0,218.0,218.0,4123000
2026-02-13,PEGE,Panca Global Kapital Tbk.,214.0,218.0,212.0,216.0,2393500
2026-02-18,PEGE,Panca Global Kapital Tbk.,218.0,232.0,216.0,230.0,6900700
2026-02-19,PEGE,Panca Global Kapital Tbk.,232.0,232.0,220.0,220.0,3671000
2026-02-20,PEGE,Panca Global Kapital Tbk.,222.0,222.0,212.0,212.0,3251600
2026-02-23,PEGE,Panca Global Kapital Tbk.,212.0,220.0,210.0,218.0,3539600
2026-02-24,PEGE,Panca Global Kapital Tbk.,218.0,220.0,210.0,210.0,4776600
2026-02-25,PEGE,Panca Global Kapital Tbk.,212.0,214.0,204.0,206.0,3424600
2026-02-26,PEGE,Panca Global Kapital Tbk.,206.0,206.0,193.0,197.0,7594100
2026-02-27,PEGE,Panca Global Kapital Tbk.,192.0,198.0,185.0,197.0,3458500
2026-03-02,PEGE,Panca Global Kapital Tbk.,185.0,190.0,171.0,185.0,9792500
2026-03-03,PEGE,Panca Global Kapital Tbk.,182.0,185.0,161.0,177.0,1956500
2026-03-04,PEGE,Panca Global Kapital Tbk.,177.0,177.0,151.0,159.0,15363000
2026-03-05,PEGE,Panca Global Kapital Tbk.,169.0,187.0,161.0,181.0,4608900
2026-03-06,PEGE,Panca Global Kapital Tbk.,175.0,185.0,163.0,180.0,3902700
2026-03-09,PEGE,Panca Global Kapital Tbk.,174.0,174.0,154.0,167.0,4434000
2026-03-10,PEGE,Panca Global Kapital Tbk.,169.0,175.0,165.0,170.0,1137700
2026-03-11,PEGE,Panca Global Kapital Tbk.,170.0,174.0,163.0,166.0,1508100
2026-03-12,PEGE,Panca Global Kapital Tbk.,168.0,168.0,163.0,163.0,988400
2026-03-13,PEGE,Panca Global Kapital Tbk.,162.0,165.0,150.0,,1707000
2026-03-16,PEGE,Panca Global Kapital Tbk.,162.0,162.0,153.0,,1857100
2026-03-17,PEGE,Panca Global Kapital Tbk.,157.0,160.0,153.0,,532000
2026-03-25,PEGE,Panca Global Kapital Tbk.,154.0,154.0,143.0,151.0,1412800
2026-03-26,PEGE,Panca Global Kapital Tbk.,149.0,154.0,145.0,,1017800
2026-03-27,PEGE,Panca Global Kapital Tbk.,145.0,148.0,141.0,144.0,530300
2026-03-30,PEGE,Panca Global Kapital Tbk.,136.0,139.0,132.0,136.0,1697200
2026-03-31,PEGE,Panca Global Kapital Tbk.,136.0,139.0,125.0,127.0,3970600
2026-04-01,PEGE,Panca Global Kapital Tbk.,127.0,134.0,127.0,131.0,3032700
2026-04-02,PEGE,Panca Global Kapital Tbk.,138.0,144.0,121.0,122.0,6259000
2026-04-06,PEGE,Panca Global Kapital Tbk.,119.0,119.0,104.0,107.0,17204900
2026-04-07,PEGE,Panca Global Kapital Tbk.,107.0,144.0,105.0,118.0,51795100
2026-04-08,PEGE,Panca Global Kapital Tbk.,119.0,125.0,115.0,121.0,9556300
2026-04-09,PEGE,Panca Global Kapital Tbk.,130.0,163.0,130.0,163.0,65748700
2026-04-10,PEGE,Panca Global Kapital Tbk.,166.0,175.0,152.0,155.0,52943100
2026-04-13,PEGE,Panca Global Kapital Tbk.,155.0,162.0,147.0,158.0,7652700
2026-04-14,PEGE,Panca Global Kapital Tbk.,160.0,161.0,156.0,160.0,7797800
2026-04-15,PEGE,Panca Global Kapital Tbk.,160.0,178.0,155.0,162.0,27861700
2026-04-16,PEGE,Panca Global Kapital Tbk.,164.0,164.0,158.0,159.0,3526900
2026-04-17,PEGE,Panca Global Kapital Tbk.,162.0,172.0,154.0,162.0,12134000
2026-04-20,PEGE,Panca Global Kapital Tbk.,165.0,168.0,157.0,157.0,4171600
2026-04-21,PEGE,Panca Global Kapital Tbk.,154.0,162.0,154.0,162.0,2971000
2026-04-22,PEGE,Panca Global Kapital Tbk.,163.0,170.0,160.0,166.0,7964900
2026-04-23,PEGE,Panca Global Kapital Tbk.,166.0,168.0,161.0,161.0,2978000
2026-04-24,PEGE,Panca Global Kapital Tbk.,161.0,162.0,141.0,144.0,6756300
2026-04-27,PEGE,Panca Global Kapital Tbk.,144.0,156.0,144.0,151.0,2426200
2026-04-28,PEGE,Panca Global Kapital Tbk.,154.0,157.0,150.0,154.0,1478100
2026-04-29,PEGE,Panca Global Kapital Tbk.,154.0,161.0,150.0,151.0,2862300
2026-04-30,PEGE,Panca Global Kapital Tbk.,148.0,151.0,144.0,148.0,2120300
2026-05-01,PEGE,Panca Global Kapital Tbk.,,,,,
2026-05-04,PEGE,Panca Global Kapital Tbk.,145.0,151.0,142.0,145.0,1406400
2026-05-05,PEGE,Panca Global Kapital Tbk.,146.0,152.0,140.0,145.0,3011700
