date,kode,nama,open,high,low,close,volume
2026-01-22,AGRO,Bank Raya Indonesia Tbk.,242.0,246.0,240.0,242.0,15149800
2026-01-23,AGRO,Bank Raya Indonesia Tbk.,242.0,244.0,234.0,238.0,22195600
2026-01-26,AGRO,Bank Raya Indonesia Tbk.,240.0,244.0,232.0,232.0,23028200
2026-01-27,AGRO,Bank Raya Indonesia Tbk.,232.0,234.0,230.0,230.0,15123900
2026-01-28,AGRO,Bank Raya Indonesia Tbk.,230.0,230.0,204.0,212.0,52158200
2026-01-29,AGRO,Bank Raya Indonesia Tbk.,212.0,218.0,182.0,208.0,58246100
2026-01-30,AGRO,Bank Raya Indonesia Tbk.,214.0,220.0,208.0,218.0,17174600
2026-02-02,AGRO,Bank Raya Indonesia Tbk.,222.0,222.0,204.0,206.0,17316200
2026-02-03,AGRO,Bank Raya Indonesia Tbk.,206.0,212.0,200.0,212.0,15410700
2026-02-04,AGRO,Bank Raya Indonesia Tbk.,212.0,220.0,210.0,218.0,21019300
2026-02-05,AGRO,Bank Raya Indonesia Tbk.,218.0,222.0,218.0,218.0,16995900
2026-02-06,AGRO,Bank Raya Indonesia Tbk.,216.0,218.0,212.0,214.0,8461500
2026-02-09,AGRO,Bank Raya Indonesia Tbk.,214.0,216.0,210.0,214.0,5470600
2026-02-10,AGRO,Bank Raya Indonesia Tbk.,214.0,218.0,214.0,216.0,5071300
2026-02-11,AGRO,Bank Raya Indonesia Tbk.,216.0,218.0,214.0,218.0,11345600
2026-02-12,AGRO,Bank Raya Indonesia Tbk.,218.0,220.0,214.0,216.0,10242800
2026-02-13,AGRO,Bank Raya Indonesia Tbk.,216.0,218.0,212.0,212.0,9984400
2026-02-18,AGRO,Bank Raya Indonesia Tbk.,212.0,218.0,212.0,218.0,8824700
2026-02-19,AGRO,Bank Raya Indonesia Tbk.,218.0,218.0,212.0,214.0,10592100
2026-02-20,AGRO,Bank Raya Indonesia Tbk.,214.0,216.0,210.0,212.0,11107800
2026-02-23,AGRO,Bank Raya Indonesia Tbk.,216.0,216.0,212.0,214.0,11283600
2026-02-24,AGRO,Bank Raya Indonesia Tbk.,214.0,216.0,208.0,212.0,15021900
2026-02-25,AGRO,Bank Raya Indonesia Tbk.,212.0,214.0,210.0,210.0,11604800
2026-02-26,AGRO,Bank Raya Indonesia Tbk.,214.0,214.0,208.0,210.0,8901100
2026-02-27,AGRO,Bank Raya Indonesia Tbk.,210.0,210.0,204.0,208.0,8669600
2026-03-02,AGRO,Bank Raya Indonesia Tbk.,202.0,204.0,196.0,196.0,25380000
2026-03-03,AGRO,Bank Raya Indonesia Tbk.,198.0,200.0,192.0,195.0,10557400
2026-03-04,AGRO,Bank Raya Indonesia Tbk.,195.0,195.0,185.0,187.0,21261900
2026-03-05,AGRO,Bank Raya Indonesia Tbk.,189.0,194.0,189.0,190.0,6025500
2026-03-06,AGRO,Bank Raya Indonesia Tbk.,192.0,192.0,186.0,188.0,4998000
2026-03-09,AGRO,Bank Raya Indonesia Tbk.,185.0,185.0,175.0,177.0,14401400
2026-03-10,AGRO,Bank Raya Indonesia Tbk.,180.0,184.0,178.0,183.0,8455500
2026-03-11,AGRO,Bank Raya Indonesia Tbk.,184.0,186.0,183.0,185.0,3751300
2026-03-12,AGRO,Bank Raya Indonesia Tbk.,185.0,187.0,181.0,181.0,3332300
2026-03-13,AGRO,Bank Raya Indonesia Tbk.,189.0,189.0,179.0,,8028800
2026-03-16,AGRO,Bank Raya Indonesia Tbk.,179.0,179.0,174.0,,9081400
2026-03-17,AGRO,Bank Raya Indonesia Tbk.,177.0,181.0,175.0,,8566600
2026-03-25,AGRO,Bank Raya Indonesia Tbk.,180.0,182.0,178.0,182.0,4090400
2026-03-26,AGRO,Bank Raya Indonesia Tbk.,182.0,182.0,178.0,,6132600
2026-03-27,AGRO,Bank Raya Indonesia Tbk.,181.0,181.0,176.0,178.0,3282000
2026-03-30,AGRO,Bank Raya Indonesia Tbk.,178.0,178.0,171.0,175.0,7028800
2026-03-31,AGRO,Bank Raya Indonesia Tbk.,175.0,176.0,170.0,172.0,5617200
2026-04-01,AGRO,Bank Raya Indonesia Tbk.,174.0,177.0,172.0,173.0,8176800
2026-04-02,AGRO,Bank Raya Indonesia Tbk.,174.0,175.0,171.0,173.0,5303300
2026-04-06,AGRO,Bank Raya Indonesia Tbk.,173.0,173.0,169.0,170.0,5972100
2026-04-07,AGRO,Bank Raya Indonesia Tbk.,169.0,170.0,168.0,168.0,3268900
2026-04-08,AGRO,Bank Raya Indonesia Tbk.,170.0,176.0,170.0,176.0,6006800
2026-04-09,AGRO,Bank Raya Indonesia Tbk.,174.0,176.0,171.0,172.0,3576600
2026-04-10,AGRO,Bank Raya Indonesia Tbk.,172.0,176.0,171.0,173.0,4536400
2026-04-13,AGRO,Bank Raya Indonesia Tbk.,173.0,174.0,171.0,171.0,7750500
2026-04-14,AGRO,Bank Raya Indonesia Tbk.,172.0,178.0,172.0,177.0,7983400
2026-04-15,AGRO,Bank Raya Indonesia Tbk.,179.0,180.0,177.0,178.0,8369200
2026-04-16,AGRO,Bank Raya Indonesia Tbk.,230.0,236.0,204.0,230.0,327935600
2026-04-17,AGRO,Bank Raya Indonesia Tbk.,236.0,248.0,204.0,204.0,615790100
2026-04-20,AGRO,Bank Raya Indonesia Tbk.,202.0,204.0,194.0,197.0,58782400
