date,kode,nama,open,high,low,close,volume
2026-01-22,SFAN,Surya Fajar Capital Tbk.,1940.0,1940.0,1935.0,1935.0,52700
2026-01-23,SFAN,Surya Fajar Capital Tbk.,1935.0,1935.0,1935.0,1935.0,53400
2026-01-26,SFAN,Surya Fajar Capital Tbk.,1935.0,1945.0,1935.0,1940.0,59800
2026-01-27,SFAN,Surya Fajar Capital Tbk.,1940.0,1945.0,1935.0,1940.0,66700
2026-01-28,SFAN,Surya Fajar Capital Tbk.,1945.0,1945.0,1940.0,1940.0,66400
2026-01-29,SFAN,Surya Fajar Capital Tbk.,1940.0,1940.0,1930.0,1935.0,58500
2026-01-30,SFAN,Surya Fajar Capital Tbk.,1935.0,1935.0,1930.0,1935.0,63800
2026-02-02,SFAN,Surya Fajar Capital Tbk.,1935.0,1955.0,1930.0,1930.0,58200
2026-02-03,SFAN,Surya Fajar Capital Tbk.,1935.0,1935.0,1930.0,1935.0,71800
2026-02-04,SFAN,Surya Fajar Capital Tbk.,1935.0,1940.0,1935.0,1935.0,58700
2026-02-05,SFAN,Surya Fajar Capital Tbk.,1935.0,1940.0,1935.0,1935.0,52800
2026-02-06,SFAN,Surya Fajar Capital Tbk.,1935.0,1935.0,1930.0,1930.0,53600
2026-02-09,SFAN,Surya Fajar Capital Tbk.,1930.0,1935.0,1930.0,1930.0,53600
2026-02-10,SFAN,Surya Fajar Capital Tbk.,1930.0,1935.0,1930.0,1935.0,56100
2026-02-11,SFAN,Surya Fajar Capital Tbk.,1935.0,1935.0,1930.0,1935.0,62200
2026-02-12,SFAN,Surya Fajar Capital Tbk.,1935.0,1940.0,1935.0,1935.0,63200
2026-02-13,SFAN,Surya Fajar Capital Tbk.,1935.0,1940.0,1935.0,1935.0,53500
2026-02-18,SFAN,Surya Fajar Capital Tbk.,1935.0,1940.0,1925.0,1940.0,53700
2026-02-19,SFAN,Surya Fajar Capital Tbk.,1940.0,1950.0,1940.0,1950.0,61800
2026-02-20,SFAN,Surya Fajar Capital Tbk.,1940.0,1950.0,1935.0,1940.0,54700
2026-02-23,SFAN,Surya Fajar Capital Tbk.,1940.0,1945.0,1940.0,1945.0,51700
2026-02-24,SFAN,Surya Fajar Capital Tbk.,1945.0,1945.0,1940.0,1940.0,58500
2026-02-25,SFAN,Surya Fajar Capital Tbk.,1940.0,1945.0,1940.0,1940.0,58200
2026-02-26,SFAN,Surya Fajar Capital Tbk.,1945.0,1945.0,1940.0,1940.0,57700
2026-02-27,SFAN,Surya Fajar Capital Tbk.,1940.0,1940.0,1935.0,1935.0,51700
2026-03-02,SFAN,Surya Fajar Capital Tbk.,1935.0,1935.0,1925.0,1930.0,53100
2026-03-03,SFAN,Surya Fajar Capital Tbk.,1935.0,1935.0,1935.0,1935.0,56900
2026-03-04,SFAN,Surya Fajar Capital Tbk.,1940.0,1940.0,1930.0,1935.0,57000
2026-03-05,SFAN,Surya Fajar Capital Tbk.,1940.0,1940.0,1935.0,1935.0,58500
2026-03-06,SFAN,Surya Fajar Capital Tbk.,1935.0,1935.0,1930.0,1930.0,53000
2026-03-09,SFAN,Surya Fajar Capital Tbk.,1930.0,1930.0,1920.0,1920.0,53800
2026-03-10,SFAN,Surya Fajar Capital Tbk.,1920.0,1925.0,1920.0,1920.0,53900
