date,kode,nama,open,high,low,close,volume
2026-01-22,BBNI,Bank Negara Indonesia (Persero,4600.0,4670.0,4590.0,4590.0,60255300
2026-01-23,BBNI,Bank Negara Indonesia (Persero,4590.0,4610.0,4520.0,4600.0,37564400
2026-01-26,BBNI,Bank Negara Indonesia (Persero,4590.0,4600.0,4520.0,4530.0,79139000
2026-01-27,BBNI,Bank Negara Indonesia (Persero,4530.0,4540.0,4470.0,4500.0,40655600
2026-01-28,BBNI,Bank Negara Indonesia (Persero,4380.0,4550.0,4270.0,4440.0,114151800
2026-01-29,BBNI,Bank Negara Indonesia (Persero,4310.0,4460.0,3990.0,4420.0,242945800
2026-01-30,BBNI,Bank Negara Indonesia (Persero,4450.0,4590.0,4430.0,4490.0,167017600
2026-02-02,BBNI,Bank Negara Indonesia (Persero,4570.0,4580.0,4370.0,4500.0,85790700
2026-02-03,BBNI,Bank Negara Indonesia (Persero,4450.0,4630.0,4380.0,4590.0,82653800
2026-02-04,BBNI,Bank Negara Indonesia (Persero,4590.0,4650.0,4570.0,4630.0,92915700
2026-02-05,BBNI,Bank Negara Indonesia (Persero,4630.0,4730.0,4570.0,4570.0,94551800
2026-02-06,BBNI,Bank Negara Indonesia (Persero,4510.0,4560.0,4470.0,4530.0,59930200
2026-02-09,BBNI,Bank Negara Indonesia (Persero,4570.0,4570.0,4450.0,4520.0,51513700
2026-02-10,BBNI,Bank Negara Indonesia (Persero,4520.0,4540.0,4480.0,4510.0,38280100
2026-02-11,BBNI,Bank Negara Indonesia (Persero,4500.0,4510.0,4460.0,4480.0,54082900
2026-02-12,BBNI,Bank Negara Indonesia (Persero,4480.0,4510.0,4470.0,4510.0,27571700
2026-02-13,BBNI,Bank Negara Indonesia (Persero,4510.0,4510.0,4470.0,4480.0,25116200
2026-02-18,BBNI,Bank Negara Indonesia (Persero,4510.0,4540.0,4480.0,4490.0,38802300
2026-02-19,BBNI,Bank Negara Indonesia (Persero,4520.0,4550.0,4450.0,4450.0,54011700
2026-02-20,BBNI,Bank Negara Indonesia (Persero,4450.0,4500.0,4420.0,4470.0,48070400
2026-02-23,BBNI,Bank Negara Indonesia (Persero,4470.0,4510.0,4460.0,4500.0,35303300
2026-02-24,BBNI,Bank Negara Indonesia (Persero,4480.0,4490.0,4430.0,4450.0,58150200
2026-02-25,BBNI,Bank Negara Indonesia (Persero,4470.0,4520.0,4440.0,4500.0,53012100
2026-02-26,BBNI,Bank Negara Indonesia (Persero,4500.0,4510.0,4420.0,4460.0,53377800
2026-02-27,BBNI,Bank Negara Indonesia (Persero,4460.0,4460.0,4400.0,4400.0,83010300
2026-03-02,BBNI,Bank Negara Indonesia (Persero,4350.0,4380.0,4300.0,4300.0,77493000
2026-03-03,BBNI,Bank Negara Indonesia (Persero,4310.0,4360.0,4300.0,4300.0,34412500
2026-03-04,BBNI,Bank Negara Indonesia (Persero,4280.0,4290.0,4120.0,4150.0,101732100
2026-03-05,BBNI,Bank Negara Indonesia (Persero,4220.0,4320.0,4200.0,4280.0,52177600
2026-03-06,BBNI,Bank Negara Indonesia (Persero,4270.0,4300.0,4210.0,4270.0,47786400
2026-03-09,BBNI,Bank Negara Indonesia (Persero,4150.0,4330.0,4130.0,4290.0,102376100
2026-03-10,BBNI,Bank Negara Indonesia (Persero,4350.0,4370.0,4250.0,4260.0,66622300
2026-03-11,BBNI,Bank Negara Indonesia (Persero,4300.0,4330.0,4280.0,4290.0,54796500
2026-03-12,BBNI,Bank Negara Indonesia (Persero,4300.0,4350.0,4270.0,4280.0,87013000
2026-03-13,BBNI,Bank Negara Indonesia (Persero,4290.0,4310.0,4220.0,,99440600
2026-03-16,BBNI,Bank Negara Indonesia (Persero,4250.0,4340.0,4230.0,,126138200
2026-03-17,BBNI,Bank Negara Indonesia (Persero,4330.0,4390.0,4320.0,,209818800
2026-03-25,BBNI,Bank Negara Indonesia (Persero,4050.0,4090.0,3980.0,4040.0,247987000
2026-03-26,BBNI,Bank Negara Indonesia (Persero,4050.0,4060.0,3970.0,,90175900
2026-03-27,BBNI,Bank Negara Indonesia (Persero,3980.0,3990.0,3900.0,3900.0,76824500
2026-03-30,BBNI,Bank Negara Indonesia (Persero,3860.0,3860.0,3780.0,3850.0,82872100
2026-03-31,BBNI,Bank Negara Indonesia (Persero,3850.0,3880.0,3760.0,3760.0,76852900
2026-04-01,BBNI,Bank Negara Indonesia (Persero,3830.0,3840.0,3720.0,3720.0,88881000
2026-04-02,BBNI,Bank Negara Indonesia (Persero,3730.0,3750.0,3690.0,3700.0,53750100
2026-04-06,BBNI,Bank Negara Indonesia (Persero,3700.0,3720.0,3630.0,3640.0,45425200
2026-04-07,BBNI,Bank Negara Indonesia (Persero,3640.0,3660.0,3510.0,3510.0,101473800
2026-04-08,BBNI,Bank Negara Indonesia (Persero,3650.0,3800.0,3630.0,3780.0,112845200
