date,kode,nama,open,high,low,close,volume
2026-01-22,AMAR,Bank Amar Indonesia Tbk.,228.0,228.0,224.0,226.0,315600
2026-01-23,AMAR,Bank Amar Indonesia Tbk.,224.0,228.0,220.0,226.0,554200
2026-01-26,AMAR,Bank Amar Indonesia Tbk.,224.0,226.0,220.0,222.0,1232200
2026-01-27,AMAR,Bank Amar Indonesia Tbk.,222.0,222.0,220.0,220.0,1482900
2026-01-28,AMAR,Bank Amar Indonesia Tbk.,222.0,222.0,197.0,210.0,5754200
2026-01-29,AMAR,Bank Amar Indonesia Tbk.,210.0,218.0,190.0,218.0,2063100
2026-01-30,AMAR,Bank Amar Indonesia Tbk.,218.0,220.0,212.0,214.0,475000
2026-02-02,AMAR,Bank Amar Indonesia Tbk.,212.0,214.0,202.0,202.0,1223900
2026-02-03,AMAR,Bank Amar Indonesia Tbk.,204.0,212.0,202.0,212.0,878300
2026-02-04,AMAR,Bank Amar Indonesia Tbk.,214.0,216.0,210.0,212.0,404000
2026-02-05,AMAR,Bank Amar Indonesia Tbk.,212.0,214.0,206.0,212.0,766400
2026-02-06,AMAR,Bank Amar Indonesia Tbk.,212.0,218.0,206.0,206.0,824600
2026-02-09,AMAR,Bank Amar Indonesia Tbk.,214.0,214.0,208.0,210.0,429500
2026-02-10,AMAR,Bank Amar Indonesia Tbk.,210.0,214.0,208.0,212.0,248500
2026-02-11,AMAR,Bank Amar Indonesia Tbk.,212.0,214.0,208.0,214.0,478800
2026-02-12,AMAR,Bank Amar Indonesia Tbk.,214.0,214.0,210.0,212.0,199300
2026-02-13,AMAR,Bank Amar Indonesia Tbk.,210.0,214.0,206.0,212.0,461600
2026-02-18,AMAR,Bank Amar Indonesia Tbk.,214.0,214.0,202.0,208.0,2693100
2026-02-19,AMAR,Bank Amar Indonesia Tbk.,202.0,208.0,202.0,206.0,441900
2026-02-20,AMAR,Bank Amar Indonesia Tbk.,206.0,208.0,206.0,206.0,113600
2026-02-23,AMAR,Bank Amar Indonesia Tbk.,206.0,210.0,200.0,210.0,520700
2026-02-24,AMAR,Bank Amar Indonesia Tbk.,210.0,210.0,206.0,206.0,357300
2026-02-25,AMAR,Bank Amar Indonesia Tbk.,206.0,210.0,206.0,210.0,271300
2026-02-26,AMAR,Bank Amar Indonesia Tbk.,208.0,210.0,206.0,206.0,313900
2026-02-27,AMAR,Bank Amar Indonesia Tbk.,206.0,212.0,206.0,210.0,462100
2026-03-02,AMAR,Bank Amar Indonesia Tbk.,208.0,208.0,202.0,202.0,537600
2026-03-03,AMAR,Bank Amar Indonesia Tbk.,202.0,202.0,191.0,202.0,981300
2026-03-04,AMAR,Bank Amar Indonesia Tbk.,200.0,200.0,190.0,196.0,1009900
2026-03-05,AMAR,Bank Amar Indonesia Tbk.,196.0,200.0,196.0,199.0,147400
2026-03-06,AMAR,Bank Amar Indonesia Tbk.,199.0,208.0,190.0,196.0,482700
2026-03-09,AMAR,Bank Amar Indonesia Tbk.,190.0,197.0,182.0,192.0,1613600
2026-03-10,AMAR,Bank Amar Indonesia Tbk.,190.0,200.0,185.0,195.0,615900
