date,kode,nama,open,high,low,close,volume
2026-01-22,JMAS,Asuransi Jiwa Syariah Jasa Mit,312.0,330.0,300.0,302.0,11444900
2026-01-23,JMAS,Asuransi Jiwa Syariah Jasa Mit,300.0,312.0,288.0,294.0,2044800
2026-01-26,JMAS,Asuransi Jiwa Syariah Jasa Mit,294.0,304.0,286.0,292.0,1323100
2026-01-27,JMAS,Asuransi Jiwa Syariah Jasa Mit,292.0,292.0,276.0,282.0,2737000
2026-01-28,JMAS,Asuransi Jiwa Syariah Jasa Mit,272.0,276.0,240.0,240.0,4490100
2026-01-29,JMAS,Asuransi Jiwa Syariah Jasa Mit,220.0,230.0,204.0,230.0,5803700
2026-01-30,JMAS,Asuransi Jiwa Syariah Jasa Mit,230.0,276.0,228.0,258.0,7999900
2026-02-02,JMAS,Asuransi Jiwa Syariah Jasa Mit,258.0,260.0,220.0,220.0,1963200
2026-02-03,JMAS,Asuransi Jiwa Syariah Jasa Mit,214.0,230.0,200.0,230.0,951800
2026-02-04,JMAS,Asuransi Jiwa Syariah Jasa Mit,228.0,230.0,200.0,228.0,2318500
2026-02-05,JMAS,Asuransi Jiwa Syariah Jasa Mit,230.0,244.0,212.0,224.0,8996200
2026-02-06,JMAS,Asuransi Jiwa Syariah Jasa Mit,220.0,226.0,208.0,210.0,1335700
2026-02-09,JMAS,Asuransi Jiwa Syariah Jasa Mit,210.0,218.0,202.0,218.0,1412100
2026-02-10,JMAS,Asuransi Jiwa Syariah Jasa Mit,218.0,222.0,210.0,216.0,1270400
2026-02-11,JMAS,Asuransi Jiwa Syariah Jasa Mit,218.0,228.0,216.0,228.0,2478200
2026-02-12,JMAS,Asuransi Jiwa Syariah Jasa Mit,228.0,228.0,220.0,222.0,157600
2026-02-13,JMAS,Asuransi Jiwa Syariah Jasa Mit,216.0,250.0,214.0,230.0,2302700
2026-02-18,JMAS,Asuransi Jiwa Syariah Jasa Mit,232.0,244.0,224.0,240.0,1436100
2026-02-19,JMAS,Asuransi Jiwa Syariah Jasa Mit,240.0,258.0,232.0,242.0,2469100
2026-02-20,JMAS,Asuransi Jiwa Syariah Jasa Mit,242.0,276.0,242.0,250.0,13634100
2026-02-23,JMAS,Asuransi Jiwa Syariah Jasa Mit,260.0,260.0,248.0,248.0,1152000
2026-02-24,JMAS,Asuransi Jiwa Syariah Jasa Mit,254.0,258.0,232.0,232.0,1828500
2026-02-25,JMAS,Asuransi Jiwa Syariah Jasa Mit,234.0,248.0,224.0,242.0,2704100
