date,kode,nama,open,high,low,close,volume
2026-01-22,ADMF,Adira Dinamika Multi Finance T,8700.0,8725.0,8650.0,8675.0,80400
2026-01-23,ADMF,Adira Dinamika Multi Finance T,8675.0,8675.0,8625.0,8675.0,27300
2026-01-26,ADMF,Adira Dinamika Multi Finance T,8675.0,8675.0,8575.0,8625.0,161000
2026-01-27,ADMF,Adira Dinamika Multi Finance T,8600.0,8625.0,8550.0,8575.0,105200
2026-01-28,ADMF,Adira Dinamika Multi Finance T,8550.0,8575.0,8250.0,8325.0,317400
2026-01-29,ADMF,Adira Dinamika Multi Finance T,8350.0,8375.0,7975.0,8325.0,771000
2026-01-30,ADMF,Adira Dinamika Multi Finance T,8350.0,8400.0,8250.0,8300.0,173400
2026-02-02,ADMF,Adira Dinamika Multi Finance T,8275.0,8275.0,7900.0,8000.0,801800
2026-02-03,ADMF,Adira Dinamika Multi Finance T,8000.0,8250.0,8000.0,8200.0,72300
2026-02-04,ADMF,Adira Dinamika Multi Finance T,8300.0,8300.0,8175.0,8275.0,45300
2026-02-05,ADMF,Adira Dinamika Multi Finance T,8300.0,8500.0,8300.0,8425.0,136800
2026-02-06,ADMF,Adira Dinamika Multi Finance T,8425.0,8425.0,8300.0,8400.0,111200
2026-02-09,ADMF,Adira Dinamika Multi Finance T,8350.0,8375.0,8300.0,8350.0,54000
2026-02-10,ADMF,Adira Dinamika Multi Finance T,8350.0,8450.0,8300.0,8350.0,64700
2026-02-11,ADMF,Adira Dinamika Multi Finance T,8350.0,8400.0,8275.0,8275.0,202400
2026-02-12,ADMF,Adira Dinamika Multi Finance T,8275.0,8375.0,8275.0,8350.0,53700
2026-02-13,ADMF,Adira Dinamika Multi Finance T,8350.0,8350.0,8300.0,8350.0,53800
2026-02-18,ADMF,Adira Dinamika Multi Finance T,8325.0,8400.0,8275.0,8350.0,38400
2026-02-19,ADMF,Adira Dinamika Multi Finance T,8325.0,8875.0,8325.0,8850.0,921400
2026-02-20,ADMF,Adira Dinamika Multi Finance T,8900.0,9000.0,8700.0,8750.0,421200
2026-02-23,ADMF,Adira Dinamika Multi Finance T,8750.0,8825.0,8750.0,8775.0,73300
2026-02-24,ADMF,Adira Dinamika Multi Finance T,8775.0,8800.0,8725.0,8750.0,351700
2026-02-25,ADMF,Adira Dinamika Multi Finance T,8800.0,8800.0,8675.0,8700.0,215800
2026-02-26,ADMF,Adira Dinamika Multi Finance T,8700.0,8825.0,8525.0,8600.0,221900
2026-02-27,ADMF,Adira Dinamika Multi Finance T,8625.0,8800.0,8500.0,8725.0,115300
2026-03-02,ADMF,Adira Dinamika Multi Finance T,8675.0,8700.0,8575.0,8650.0,181500
2026-03-03,ADMF,Adira Dinamika Multi Finance T,8650.0,8700.0,8550.0,8675.0,86900
2026-03-04,ADMF,Adira Dinamika Multi Finance T,8625.0,8650.0,8375.0,8500.0,291400
2026-03-05,ADMF,Adira Dinamika Multi Finance T,8525.0,8600.0,8500.0,8575.0,19000
2026-03-06,ADMF,Adira Dinamika Multi Finance T,8575.0,8600.0,8425.0,8550.0,65300
2026-03-09,ADMF,Adira Dinamika Multi Finance T,8550.0,8550.0,8400.0,8425.0,139600
2026-03-10,ADMF,Adira Dinamika Multi Finance T,8425.0,8550.0,8350.0,8400.0,94500
2026-03-11,ADMF,Adira Dinamika Multi Finance T,8450.0,8475.0,8375.0,8400.0,80200
2026-03-12,ADMF,Adira Dinamika Multi Finance T,8400.0,8500.0,8375.0,8425.0,43700
2026-03-13,ADMF,Adira Dinamika Multi Finance T,8450.0,8450.0,8350.0,,40400
2026-03-16,ADMF,Adira Dinamika Multi Finance T,8375.0,8375.0,8225.0,,117900
2026-03-17,ADMF,Adira Dinamika Multi Finance T,8250.0,8400.0,8225.0,,67200
2026-03-25,ADMF,Adira Dinamika Multi Finance T,8450.0,8500.0,8425.0,8450.0,209000
2026-03-26,ADMF,Adira Dinamika Multi Finance T,8450.0,8550.0,8450.0,,27000
2026-03-27,ADMF,Adira Dinamika Multi Finance T,8500.0,8550.0,8300.0,8300.0,141000
2026-03-30,ADMF,Adira Dinamika Multi Finance T,8450.0,8450.0,8275.0,8350.0,48800
2026-03-31,ADMF,Adira Dinamika Multi Finance T,8375.0,8450.0,8375.0,8400.0,38100
2026-04-01,ADMF,Adira Dinamika Multi Finance T,8450.0,8500.0,8350.0,8500.0,88600
2026-04-02,ADMF,Adira Dinamika Multi Finance T,8500.0,8525.0,8425.0,8500.0,113000
2026-04-06,ADMF,Adira Dinamika Multi Finance T,8525.0,8600.0,8475.0,8500.0,123600
2026-04-07,ADMF,Adira Dinamika Multi Finance T,8500.0,8500.0,8425.0,8450.0,28800
2026-04-08,ADMF,Adira Dinamika Multi Finance T,8500.0,8700.0,8500.0,8700.0,271500
