date,kode,nama,open,high,low,close,volume
2026-01-22,PLAS,Polaris Investama Tbk,50.0,50.0,50.0,50.0,0
2026-01-23,PLAS,Polaris Investama Tbk,50.0,50.0,50.0,50.0,0
2026-01-26,PLAS,Polaris Investama Tbk,50.0,50.0,50.0,50.0,0
2026-01-27,PLAS,Polaris Investama Tbk,50.0,50.0,50.0,50.0,0
2026-01-28,PLAS,Polaris Investama Tbk,50.0,50.0,50.0,50.0,0
2026-01-29,PLAS,Polaris Investama Tbk,,,,,
2026-01-30,PLAS,Polaris Investama Tbk,,,,,
2026-02-02,PLAS,Polaris Investama Tbk,,,,,
2026-02-03,PLAS,Polaris Investama Tbk,,,,,
2026-02-04,PLAS,Polaris Investama Tbk,,,,,
2026-02-05,PLAS,Polaris Investama Tbk,,,,,
2026-02-06,PLAS,Polaris Investama Tbk,,,,,
2026-02-09,PLAS,Polaris Investama Tbk,,,,,
2026-02-10,PLAS,Polaris Investama Tbk,,,,,
2026-02-11,PLAS,Polaris Investama Tbk,,,,,
2026-02-12,PLAS,Polaris Investama Tbk,,,,,
2026-02-13,PLAS,Polaris Investama Tbk,,,,,
2026-02-18,PLAS,Polaris Investama Tbk,50.0,50.0,50.0,50.0,0
2026-02-19,PLAS,Polaris Investama Tbk,,,,,
2026-02-20,PLAS,Polaris Investama Tbk,,,,,
2026-02-23,PLAS,Polaris Investama Tbk,,,,,
2026-02-24,PLAS,Polaris Investama Tbk,,,,,
2026-02-25,PLAS,Polaris Investama Tbk,,,,,
2026-02-26,PLAS,Polaris Investama Tbk,,,,,
2026-02-27,PLAS,Polaris Investama Tbk,,,,,
2026-03-02,PLAS,Polaris Investama Tbk,,,,,
2026-03-03,PLAS,Polaris Investama Tbk,,,,,
2026-03-04,PLAS,Polaris Investama Tbk,,,,,
2026-03-05,PLAS,Polaris Investama Tbk,,,,,
2026-03-06,PLAS,Polaris Investama Tbk,,,,,
2026-03-09,PLAS,Polaris Investama Tbk,,,,,
2026-03-10,PLAS,Polaris Investama Tbk,,,,,
2026-03-11,PLAS,Polaris Investama Tbk,,,,,
2026-03-12,PLAS,Polaris Investama Tbk,,,,,
2026-03-13,PLAS,Polaris Investama Tbk,,,,,
2026-03-16,PLAS,Polaris Investama Tbk,,,,,
2026-03-17,PLAS,Polaris Investama Tbk,,,,,
2026-03-25,PLAS,Polaris Investama Tbk,50.0,50.0,50.0,50.0,0
2026-03-26,PLAS,Polaris Investama Tbk,,,,,
2026-03-27,PLAS,Polaris Investama Tbk,,,,,
2026-03-30,PLAS,Polaris Investama Tbk,,,,,
2026-03-31,PLAS,Polaris Investama Tbk,,,,,
