date,kode,nama,open,high,low,close,volume
2026-01-22,PNIN,Paninvest Tbk.,805.0,825.0,800.0,820.0,3108400
2026-01-23,PNIN,Paninvest Tbk.,820.0,825.0,810.0,815.0,955000
2026-01-26,PNIN,Paninvest Tbk.,815.0,820.0,800.0,805.0,504300
2026-01-27,PNIN,Paninvest Tbk.,860.0,860.0,800.0,805.0,1252800
2026-01-28,PNIN,Paninvest Tbk.,805.0,805.0,765.0,790.0,3672700
2026-01-29,PNIN,Paninvest Tbk.,800.0,800.0,730.0,785.0,3414500
2026-01-30,PNIN,Paninvest Tbk.,790.0,805.0,760.0,800.0,1371800
2026-02-02,PNIN,Paninvest Tbk.,800.0,800.0,770.0,780.0,850400
2026-02-03,PNIN,Paninvest Tbk.,775.0,795.0,770.0,795.0,448600
2026-02-04,PNIN,Paninvest Tbk.,795.0,800.0,780.0,800.0,846400
2026-02-05,PNIN,Paninvest Tbk.,800.0,815.0,800.0,815.0,630800
2026-02-06,PNIN,Paninvest Tbk.,815.0,815.0,785.0,805.0,568400
2026-02-09,PNIN,Paninvest Tbk.,810.0,810.0,795.0,795.0,164600
2026-02-10,PNIN,Paninvest Tbk.,795.0,805.0,795.0,795.0,100800
2026-02-11,PNIN,Paninvest Tbk.,805.0,810.0,790.0,810.0,183200
2026-02-12,PNIN,Paninvest Tbk.,810.0,815.0,805.0,810.0,355100
2026-02-13,PNIN,Paninvest Tbk.,810.0,820.0,810.0,815.0,396800
2026-02-18,PNIN,Paninvest Tbk.,815.0,815.0,795.0,805.0,191800
2026-02-19,PNIN,Paninvest Tbk.,805.0,810.0,800.0,805.0,532600
2026-02-20,PNIN,Paninvest Tbk.,815.0,815.0,805.0,810.0,446600
2026-02-23,PNIN,Paninvest Tbk.,815.0,825.0,810.0,825.0,463800
2026-02-24,PNIN,Paninvest Tbk.,825.0,825.0,815.0,820.0,196600
2026-02-25,PNIN,Paninvest Tbk.,820.0,820.0,800.0,815.0,177900
2026-02-26,PNIN,Paninvest Tbk.,805.0,815.0,800.0,810.0,148800
2026-02-27,PNIN,Paninvest Tbk.,810.0,810.0,800.0,805.0,219000
2026-03-02,PNIN,Paninvest Tbk.,800.0,800.0,775.0,775.0,742900
2026-03-03,PNIN,Paninvest Tbk.,775.0,790.0,775.0,785.0,336000
2026-03-04,PNIN,Paninvest Tbk.,790.0,790.0,770.0,775.0,1064900
2026-03-05,PNIN,Paninvest Tbk.,770.0,800.0,770.0,790.0,847600
2026-03-06,PNIN,Paninvest Tbk.,795.0,795.0,775.0,780.0,331400
2026-03-09,PNIN,Paninvest Tbk.,775.0,775.0,755.0,765.0,771200
2026-03-10,PNIN,Paninvest Tbk.,780.0,780.0,700.0,745.0,7597000
2026-03-11,PNIN,Paninvest Tbk.,760.0,780.0,745.0,745.0,1003900
2026-03-12,PNIN,Paninvest Tbk.,760.0,780.0,740.0,745.0,1067100
2026-03-13,PNIN,Paninvest Tbk.,755.0,760.0,735.0,,746000
2026-03-16,PNIN,Paninvest Tbk.,750.0,760.0,740.0,,193100
2026-03-17,PNIN,Paninvest Tbk.,755.0,770.0,750.0,,358300
2026-03-25,PNIN,Paninvest Tbk.,770.0,780.0,760.0,760.0,529700
2026-03-26,PNIN,Paninvest Tbk.,775.0,775.0,760.0,,84900
2026-03-27,PNIN,Paninvest Tbk.,765.0,765.0,750.0,760.0,237400
2026-03-30,PNIN,Paninvest Tbk.,760.0,770.0,750.0,750.0,159000
2026-03-31,PNIN,Paninvest Tbk.,740.0,770.0,740.0,760.0,219800
2026-04-01,PNIN,Paninvest Tbk.,760.0,775.0,760.0,760.0,88200
2026-04-02,PNIN,Paninvest Tbk.,775.0,775.0,755.0,770.0,153300
2026-04-06,PNIN,Paninvest Tbk.,770.0,770.0,755.0,760.0,248100
2026-04-07,PNIN,Paninvest Tbk.,760.0,765.0,750.0,755.0,250700
2026-04-08,PNIN,Paninvest Tbk.,760.0,765.0,750.0,765.0,352500
2026-04-09,PNIN,Paninvest Tbk.,765.0,765.0,750.0,765.0,180700
2026-04-10,PNIN,Paninvest Tbk.,765.0,780.0,760.0,770.0,1504400
2026-04-13,PNIN,Paninvest Tbk.,765.0,770.0,750.0,770.0,200100
2026-04-14,PNIN,Paninvest Tbk.,770.0,775.0,765.0,775.0,229800
2026-04-15,PNIN,Paninvest Tbk.,775.0,790.0,770.0,780.0,1681900
2026-04-16,PNIN,Paninvest Tbk.,790.0,790.0,775.0,780.0,222800
2026-04-17,PNIN,Paninvest Tbk.,790.0,790.0,775.0,780.0,38400
2026-04-20,PNIN,Paninvest Tbk.,775.0,790.0,770.0,785.0,223700
2026-04-21,PNIN,Paninvest Tbk.,785.0,790.0,775.0,785.0,67000
2026-04-22,PNIN,Paninvest Tbk.,780.0,835.0,775.0,815.0,2848600
2026-04-23,PNIN,Paninvest Tbk.,820.0,820.0,795.0,795.0,565400
2026-04-24,PNIN,Paninvest Tbk.,795.0,800.0,770.0,770.0,571900
2026-04-27,PNIN,Paninvest Tbk.,770.0,785.0,760.0,785.0,424100
2026-04-28,PNIN,Paninvest Tbk.,785.0,785.0,770.0,780.0,185200
2026-04-29,PNIN,Paninvest Tbk.,775.0,790.0,770.0,790.0,171100
2026-04-30,PNIN,Paninvest Tbk.,775.0,775.0,760.0,775.0,588300
2026-05-01,PNIN,Paninvest Tbk.,,,,,
2026-05-04,PNIN,Paninvest Tbk.,785.0,810.0,785.0,795.0,1715900
2026-05-05,PNIN,Paninvest Tbk.,800.0,820.0,790.0,795.0,689700
2026-05-06,PNIN,Paninvest Tbk.,800.0,810.0,785.0,795.0,701700
2026-05-07,PNIN,Paninvest Tbk.,790.0,815.0,790.0,810.0,1069500
2026-05-08,PNIN,Paninvest Tbk.,810.0,825.0,795.0,805.0,1255200
2026-05-11,PNIN,Paninvest Tbk.,805.0,810.0,785.0,805.0,625500
2026-05-12,PNIN,Paninvest Tbk.,800.0,800.0,780.0,790.0,332600
2026-05-13,PNIN,Paninvest Tbk.,790.0,795.0,790.0,790.0,68200
2026-05-14,PNIN,Paninvest Tbk.,,,,,
2026-05-15,PNIN,Paninvest Tbk.,,,,,
