date,kode,nama,open,high,low,close,volume
2026-01-22,VINS,Victoria Insurance Tbk.,222.0,242.0,208.0,212.0,7766400
2026-01-23,VINS,Victoria Insurance Tbk.,212.0,228.0,208.0,214.0,760200
2026-01-26,VINS,Victoria Insurance Tbk.,214.0,218.0,200.0,216.0,1292200
2026-01-27,VINS,Victoria Insurance Tbk.,218.0,218.0,210.0,214.0,209200
2026-01-28,VINS,Victoria Insurance Tbk.,210.0,212.0,182.0,182.0,2095200
2026-01-29,VINS,Victoria Insurance Tbk.,185.0,238.0,185.0,204.0,19510200
2026-01-30,VINS,Victoria Insurance Tbk.,204.0,238.0,190.0,202.0,11214400
2026-02-02,VINS,Victoria Insurance Tbk.,200.0,208.0,191.0,196.0,3013100
2026-02-03,VINS,Victoria Insurance Tbk.,192.0,204.0,168.0,200.0,1341400
2026-02-04,VINS,Victoria Insurance Tbk.,196.0,200.0,191.0,193.0,386800
2026-02-05,VINS,Victoria Insurance Tbk.,193.0,202.0,193.0,195.0,719900
2026-02-06,VINS,Victoria Insurance Tbk.,197.0,230.0,195.0,206.0,12962300
2026-02-09,VINS,Victoria Insurance Tbk.,208.0,212.0,192.0,196.0,2186900
2026-02-10,VINS,Victoria Insurance Tbk.,196.0,200.0,193.0,197.0,747400
2026-02-11,VINS,Victoria Insurance Tbk.,197.0,214.0,194.0,198.0,3309900
2026-02-12,VINS,Victoria Insurance Tbk.,202.0,202.0,193.0,196.0,941500
2026-02-13,VINS,Victoria Insurance Tbk.,196.0,210.0,195.0,197.0,1291300
2026-02-18,VINS,Victoria Insurance Tbk.,197.0,202.0,193.0,198.0,660400
2026-02-19,VINS,Victoria Insurance Tbk.,195.0,206.0,194.0,197.0,888800
2026-02-20,VINS,Victoria Insurance Tbk.,200.0,216.0,197.0,197.0,5273400
2026-02-23,VINS,Victoria Insurance Tbk.,198.0,208.0,195.0,204.0,1885400
2026-02-24,VINS,Victoria Insurance Tbk.,206.0,212.0,202.0,204.0,2144600
2026-02-25,VINS,Victoria Insurance Tbk.,204.0,214.0,195.0,206.0,2804500
2026-02-26,VINS,Victoria Insurance Tbk.,210.0,212.0,197.0,197.0,1183600
2026-02-27,VINS,Victoria Insurance Tbk.,195.0,202.0,193.0,196.0,870100
2026-03-02,VINS,Victoria Insurance Tbk.,193.0,193.0,175.0,185.0,1960500
2026-03-03,VINS,Victoria Insurance Tbk.,185.0,190.0,181.0,182.0,222300
2026-03-04,VINS,Victoria Insurance Tbk.,190.0,190.0,166.0,166.0,413000
2026-03-05,VINS,Victoria Insurance Tbk.,188.0,188.0,167.0,172.0,469800
2026-03-06,VINS,Victoria Insurance Tbk.,185.0,185.0,157.0,163.0,734600
2026-03-09,VINS,Victoria Insurance Tbk.,164.0,164.0,150.0,151.0,235100
2026-03-10,VINS,Victoria Insurance Tbk.,154.0,164.0,153.0,161.0,110500
2026-03-11,VINS,Victoria Insurance Tbk.,161.0,172.0,158.0,162.0,162200
2026-03-12,VINS,Victoria Insurance Tbk.,165.0,173.0,152.0,154.0,156400
2026-03-13,VINS,Victoria Insurance Tbk.,161.0,167.0,151.0,,211100
2026-03-16,VINS,Victoria Insurance Tbk.,152.0,182.0,152.0,,1143800
2026-03-17,VINS,Victoria Insurance Tbk.,157.0,165.0,153.0,,215400
2026-03-25,VINS,Victoria Insurance Tbk.,153.0,174.0,150.0,159.0,310800
2026-03-26,VINS,Victoria Insurance Tbk.,177.0,182.0,163.0,,425500
2026-03-27,VINS,Victoria Insurance Tbk.,158.0,170.0,158.0,163.0,44000
2026-03-30,VINS,Victoria Insurance Tbk.,170.0,170.0,160.0,160.0,64300
2026-03-31,VINS,Victoria Insurance Tbk.,160.0,166.0,156.0,160.0,21000
2026-04-01,VINS,Victoria Insurance Tbk.,160.0,175.0,151.0,163.0,212300
2026-04-02,VINS,Victoria Insurance Tbk.,162.0,165.0,155.0,160.0,51200
2026-04-06,VINS,Victoria Insurance Tbk.,159.0,169.0,155.0,163.0,226800
2026-04-07,VINS,Victoria Insurance Tbk.,168.0,181.0,160.0,162.0,136700
2026-04-08,VINS,Victoria Insurance Tbk.,162.0,172.0,160.0,168.0,112100
2026-04-09,VINS,Victoria Insurance Tbk.,162.0,170.0,161.0,165.0,21200
2026-04-10,VINS,Victoria Insurance Tbk.,165.0,181.0,165.0,167.0,302200
2026-04-13,VINS,Victoria Insurance Tbk.,166.0,188.0,153.0,172.0,1122000
2026-04-14,VINS,Victoria Insurance Tbk.,173.0,183.0,169.0,171.0,164200
2026-04-15,VINS,Victoria Insurance Tbk.,171.0,181.0,166.0,174.0,488700
2026-04-16,VINS,Victoria Insurance Tbk.,170.0,177.0,170.0,173.0,562500
2026-04-17,VINS,Victoria Insurance Tbk.,170.0,170.0,162.0,167.0,269500
2026-04-20,VINS,Victoria Insurance Tbk.,167.0,182.0,165.0,172.0,1352500
2026-04-21,VINS,Victoria Insurance Tbk.,172.0,172.0,165.0,170.0,296700
2026-04-22,VINS,Victoria Insurance Tbk.,177.0,178.0,170.0,170.0,346800
2026-04-23,VINS,Victoria Insurance Tbk.,171.0,172.0,160.0,166.0,465200
2026-04-24,VINS,Victoria Insurance Tbk.,166.0,169.0,151.0,158.0,229900
2026-04-27,VINS,Victoria Insurance Tbk.,158.0,164.0,150.0,161.0,241600
2026-04-28,VINS,Victoria Insurance Tbk.,158.0,161.0,156.0,158.0,29100
2026-04-29,VINS,Victoria Insurance Tbk.,158.0,185.0,157.0,173.0,2096000
2026-04-30,VINS,Victoria Insurance Tbk.,173.0,173.0,162.0,167.0,310300
2026-05-01,VINS,Victoria Insurance Tbk.,,,,,
2026-05-04,VINS,Victoria Insurance Tbk.,168.0,172.0,162.0,167.0,691800
2026-05-05,VINS,Victoria Insurance Tbk.,169.0,170.0,157.0,166.0,397300
2026-05-06,VINS,Victoria Insurance Tbk.,167.0,180.0,161.0,170.0,1379700
