date,kode,nama,open,high,low,close,volume
2026-01-22,BCIC,Bank JTrust Indonesia Tbk.,200.0,200.0,180.0,197.0,6323800
2026-01-23,BCIC,Bank JTrust Indonesia Tbk.,196.0,197.0,184.0,188.0,2292500
2026-01-26,BCIC,Bank JTrust Indonesia Tbk.,188.0,199.0,180.0,182.0,3678700
2026-01-27,BCIC,Bank JTrust Indonesia Tbk.,182.0,183.0,173.0,180.0,2031400
2026-01-28,BCIC,Bank JTrust Indonesia Tbk.,178.0,178.0,155.0,160.0,4540900
2026-01-29,BCIC,Bank JTrust Indonesia Tbk.,153.0,166.0,136.0,161.0,4807700
2026-01-30,BCIC,Bank JTrust Indonesia Tbk.,156.0,164.0,152.0,153.0,2901900
2026-02-02,BCIC,Bank JTrust Indonesia Tbk.,154.0,160.0,146.0,146.0,2182200
2026-02-03,BCIC,Bank JTrust Indonesia Tbk.,149.0,157.0,145.0,151.0,1539800
2026-02-04,BCIC,Bank JTrust Indonesia Tbk.,155.0,159.0,148.0,153.0,2181800
2026-02-05,BCIC,Bank JTrust Indonesia Tbk.,155.0,155.0,148.0,151.0,1164600
2026-02-06,BCIC,Bank JTrust Indonesia Tbk.,151.0,158.0,147.0,157.0,2721300
2026-02-09,BCIC,Bank JTrust Indonesia Tbk.,156.0,159.0,148.0,156.0,1058900
2026-02-10,BCIC,Bank JTrust Indonesia Tbk.,156.0,157.0,151.0,153.0,350700
2026-02-11,BCIC,Bank JTrust Indonesia Tbk.,155.0,156.0,152.0,155.0,726500
2026-02-12,BCIC,Bank JTrust Indonesia Tbk.,155.0,162.0,154.0,156.0,471800
2026-02-13,BCIC,Bank JTrust Indonesia Tbk.,156.0,159.0,151.0,154.0,353700
2026-02-18,BCIC,Bank JTrust Indonesia Tbk.,154.0,156.0,149.0,154.0,601800
2026-02-19,BCIC,Bank JTrust Indonesia Tbk.,155.0,156.0,152.0,154.0,415300
2026-02-20,BCIC,Bank JTrust Indonesia Tbk.,154.0,156.0,153.0,155.0,203800
2026-02-23,BCIC,Bank JTrust Indonesia Tbk.,154.0,158.0,153.0,158.0,732200
2026-02-24,BCIC,Bank JTrust Indonesia Tbk.,158.0,167.0,155.0,159.0,4285600
2026-02-25,BCIC,Bank JTrust Indonesia Tbk.,159.0,169.0,152.0,156.0,1165100
2026-02-26,BCIC,Bank JTrust Indonesia Tbk.,156.0,158.0,152.0,155.0,768500
2026-02-27,BCIC,Bank JTrust Indonesia Tbk.,155.0,155.0,151.0,153.0,321300
