date,kode,nama,open,high,low,close,volume
2026-01-22,TRUS,Trust Finance Indonesia Tbk,460.0,480.0,454.0,462.0,5700
2026-01-23,TRUS,Trust Finance Indonesia Tbk,458.0,458.0,450.0,452.0,35900
2026-01-26,TRUS,Trust Finance Indonesia Tbk,454.0,462.0,454.0,458.0,30100
2026-01-27,TRUS,Trust Finance Indonesia Tbk,460.0,460.0,456.0,456.0,16200
2026-01-28,TRUS,Trust Finance Indonesia Tbk,454.0,454.0,390.0,416.0,83000
2026-01-29,TRUS,Trust Finance Indonesia Tbk,428.0,458.0,390.0,420.0,52900
2026-01-30,TRUS,Trust Finance Indonesia Tbk,420.0,434.0,406.0,430.0,25700
2026-02-02,TRUS,Trust Finance Indonesia Tbk,430.0,430.0,412.0,412.0,15200
2026-02-03,TRUS,Trust Finance Indonesia Tbk,420.0,448.0,410.0,434.0,6400
2026-02-04,TRUS,Trust Finance Indonesia Tbk,448.0,448.0,438.0,438.0,1400
2026-02-05,TRUS,Trust Finance Indonesia Tbk,438.0,438.0,418.0,438.0,5900
2026-02-06,TRUS,Trust Finance Indonesia Tbk,438.0,438.0,402.0,408.0,10600
2026-02-09,TRUS,Trust Finance Indonesia Tbk,426.0,432.0,408.0,432.0,5300
2026-02-10,TRUS,Trust Finance Indonesia Tbk,432.0,434.0,414.0,420.0,22400
2026-02-11,TRUS,Trust Finance Indonesia Tbk,434.0,500.0,408.0,408.0,582900
2026-02-12,TRUS,Trust Finance Indonesia Tbk,420.0,498.0,420.0,434.0,575900
2026-02-13,TRUS,Trust Finance Indonesia Tbk,446.0,470.0,434.0,454.0,139900
2026-02-18,TRUS,Trust Finance Indonesia Tbk,454.0,462.0,430.0,456.0,73900
2026-02-19,TRUS,Trust Finance Indonesia Tbk,432.0,452.0,432.0,440.0,12500
2026-02-20,TRUS,Trust Finance Indonesia Tbk,450.0,450.0,434.0,434.0,20100
2026-02-23,TRUS,Trust Finance Indonesia Tbk,434.0,434.0,416.0,430.0,35400
2026-02-24,TRUS,Trust Finance Indonesia Tbk,430.0,446.0,420.0,434.0,53800
2026-02-25,TRUS,Trust Finance Indonesia Tbk,448.0,448.0,422.0,438.0,26600
2026-02-26,TRUS,Trust Finance Indonesia Tbk,438.0,438.0,416.0,416.0,12900
2026-02-27,TRUS,Trust Finance Indonesia Tbk,416.0,448.0,416.0,418.0,54000
2026-03-02,TRUS,Trust Finance Indonesia Tbk,414.0,454.0,410.0,422.0,50000
2026-03-03,TRUS,Trust Finance Indonesia Tbk,412.0,430.0,412.0,428.0,1100
2026-03-04,TRUS,Trust Finance Indonesia Tbk,422.0,464.0,422.0,436.0,30400
2026-03-05,TRUS,Trust Finance Indonesia Tbk,426.0,458.0,412.0,428.0,42800
2026-03-06,TRUS,Trust Finance Indonesia Tbk,412.0,448.0,396.0,436.0,27600
2026-03-09,TRUS,Trust Finance Indonesia Tbk,408.0,410.0,402.0,410.0,9200
2026-03-10,TRUS,Trust Finance Indonesia Tbk,412.0,414.0,392.0,392.0,1100
2026-03-11,TRUS,Trust Finance Indonesia Tbk,404.0,420.0,404.0,420.0,4300
2026-03-12,TRUS,Trust Finance Indonesia Tbk,414.0,416.0,390.0,390.0,300
2026-03-13,TRUS,Trust Finance Indonesia Tbk,400.0,404.0,400.0,,1700
2026-03-16,TRUS,Trust Finance Indonesia Tbk,406.0,406.0,380.0,,4600
2026-03-17,TRUS,Trust Finance Indonesia Tbk,396.0,418.0,392.0,,2400
2026-03-25,TRUS,Trust Finance Indonesia Tbk,392.0,392.0,380.0,392.0,700
2026-03-26,TRUS,Trust Finance Indonesia Tbk,382.0,404.0,380.0,,5700
2026-03-27,TRUS,Trust Finance Indonesia Tbk,390.0,400.0,384.0,400.0,5100
2026-03-30,TRUS,Trust Finance Indonesia Tbk,398.0,398.0,386.0,396.0,1200
2026-03-31,TRUS,Trust Finance Indonesia Tbk,386.0,424.0,386.0,388.0,6300
2026-04-01,TRUS,Trust Finance Indonesia Tbk,390.0,408.0,390.0,392.0,2800
2026-04-02,TRUS,Trust Finance Indonesia Tbk,392.0,410.0,392.0,394.0,900
2026-04-06,TRUS,Trust Finance Indonesia Tbk,404.0,460.0,376.0,384.0,149600
2026-04-07,TRUS,Trust Finance Indonesia Tbk,384.0,396.0,380.0,388.0,9400
