date,kode,nama,open,high,low,close,volume
2026-01-22,ASDM,Asuransi Dayin Mitra Tbk.,680.0,705.0,680.0,690.0,165900
2026-01-23,ASDM,Asuransi Dayin Mitra Tbk.,700.0,700.0,645.0,690.0,189800
2026-01-26,ASDM,Asuransi Dayin Mitra Tbk.,690.0,695.0,645.0,645.0,263000
2026-01-27,ASDM,Asuransi Dayin Mitra Tbk.,645.0,670.0,610.0,650.0,367300
2026-01-28,ASDM,Asuransi Dayin Mitra Tbk.,650.0,720.0,620.0,635.0,123000
2026-01-29,ASDM,Asuransi Dayin Mitra Tbk.,635.0,650.0,540.0,650.0,389500
2026-01-30,ASDM,Asuransi Dayin Mitra Tbk.,650.0,655.0,605.0,655.0,114900
2026-02-02,ASDM,Asuransi Dayin Mitra Tbk.,655.0,660.0,620.0,625.0,118000
2026-02-03,ASDM,Asuransi Dayin Mitra Tbk.,620.0,630.0,615.0,625.0,22600
2026-02-04,ASDM,Asuransi Dayin Mitra Tbk.,625.0,680.0,620.0,650.0,76900
2026-02-05,ASDM,Asuransi Dayin Mitra Tbk.,660.0,660.0,640.0,650.0,3500
2026-02-06,ASDM,Asuransi Dayin Mitra Tbk.,650.0,650.0,630.0,635.0,17700
2026-02-09,ASDM,Asuransi Dayin Mitra Tbk.,640.0,700.0,605.0,645.0,274600
2026-02-10,ASDM,Asuransi Dayin Mitra Tbk.,640.0,675.0,620.0,645.0,90100
2026-02-11,ASDM,Asuransi Dayin Mitra Tbk.,640.0,660.0,640.0,655.0,15800
2026-02-12,ASDM,Asuransi Dayin Mitra Tbk.,655.0,665.0,640.0,660.0,23800
2026-02-13,ASDM,Asuransi Dayin Mitra Tbk.,665.0,700.0,655.0,665.0,64400
2026-02-18,ASDM,Asuransi Dayin Mitra Tbk.,675.0,675.0,660.0,660.0,7800
