date,kode,nama,open,high,low,close,volume
2026-01-22,MEGA,Bank Mega Tbk.,3340.0,3370.0,3340.0,3350.0,15800
2026-01-23,MEGA,Bank Mega Tbk.,3400.0,3410.0,3330.0,3330.0,24700
2026-01-26,MEGA,Bank Mega Tbk.,3340.0,3380.0,3330.0,3370.0,26100
2026-01-27,MEGA,Bank Mega Tbk.,3370.0,3390.0,3350.0,3370.0,21400
2026-01-28,MEGA,Bank Mega Tbk.,3360.0,3360.0,3260.0,3300.0,35200
2026-01-29,MEGA,Bank Mega Tbk.,3300.0,3300.0,3150.0,3300.0,19200
2026-01-30,MEGA,Bank Mega Tbk.,3310.0,3380.0,3280.0,3290.0,5200
2026-02-02,MEGA,Bank Mega Tbk.,3290.0,3390.0,3270.0,3270.0,18300
2026-02-03,MEGA,Bank Mega Tbk.,3270.0,3280.0,3250.0,3270.0,5000
2026-02-04,MEGA,Bank Mega Tbk.,3340.0,3340.0,3270.0,3300.0,1000
2026-02-05,MEGA,Bank Mega Tbk.,3300.0,3330.0,3240.0,3300.0,14900
2026-02-06,MEGA,Bank Mega Tbk.,3300.0,3300.0,3250.0,3250.0,16900
2026-02-09,MEGA,Bank Mega Tbk.,3250.0,3300.0,3250.0,3300.0,1100
2026-02-10,MEGA,Bank Mega Tbk.,3300.0,3300.0,3300.0,3300.0,2100
2026-02-11,MEGA,Bank Mega Tbk.,3350.0,3370.0,3310.0,3320.0,38600
2026-02-12,MEGA,Bank Mega Tbk.,3350.0,3390.0,3300.0,3340.0,7800
2026-02-13,MEGA,Bank Mega Tbk.,3330.0,3330.0,3250.0,3320.0,14800
2026-02-18,MEGA,Bank Mega Tbk.,3330.0,3330.0,3280.0,3290.0,10000
2026-02-19,MEGA,Bank Mega Tbk.,3310.0,3310.0,3260.0,3270.0,6300
2026-02-20,MEGA,Bank Mega Tbk.,3270.0,3350.0,3270.0,3310.0,7500
2026-02-23,MEGA,Bank Mega Tbk.,3600.0,4130.0,3600.0,4130.0,345100
2026-02-24,MEGA,Bank Mega Tbk.,5150.0,5150.0,5150.0,5150.0,806300
2026-02-25,MEGA,Bank Mega Tbk.,6000.0,6175.0,4630.0,4840.0,3273500
2026-02-26,MEGA,Bank Mega Tbk.,4840.0,5550.0,4840.0,4860.0,486200
2026-02-27,MEGA,Bank Mega Tbk.,4880.0,4900.0,4650.0,4650.0,153400
2026-03-02,MEGA,Bank Mega Tbk.,4590.0,4590.0,4250.0,4320.0,217000
2026-03-03,MEGA,Bank Mega Tbk.,4320.0,4500.0,4150.0,4290.0,99800
2026-03-04,MEGA,Bank Mega Tbk.,4250.0,4260.0,3910.0,4000.0,157300
2026-03-05,MEGA,Bank Mega Tbk.,4000.0,4140.0,4000.0,4030.0,40400
2026-03-06,MEGA,Bank Mega Tbk.,4030.0,4030.0,3900.0,4020.0,81300
2026-03-09,MEGA,Bank Mega Tbk.,4020.0,4020.0,3650.0,3880.0,78900
2026-03-10,MEGA,Bank Mega Tbk.,3930.0,4140.0,3930.0,4050.0,35800
2026-03-11,MEGA,Bank Mega Tbk.,4080.0,4150.0,4050.0,4050.0,51300
2026-03-12,MEGA,Bank Mega Tbk.,4050.0,4150.0,4010.0,4050.0,30100
2026-03-13,MEGA,Bank Mega Tbk.,4050.0,4050.0,3980.0,,39800
2026-03-16,MEGA,Bank Mega Tbk.,4000.0,4040.0,3950.0,,40900
2026-03-17,MEGA,Bank Mega Tbk.,4030.0,4050.0,4000.0,,15400
2026-03-25,MEGA,Bank Mega Tbk.,4050.0,4190.0,4000.0,4150.0,62700
2026-03-26,MEGA,Bank Mega Tbk.,4160.0,4750.0,4160.0,,200500
2026-03-27,MEGA,Bank Mega Tbk.,4650.0,4780.0,4550.0,4690.0,115700
2026-03-30,MEGA,Bank Mega Tbk.,4690.0,4700.0,4370.0,4540.0,65300
2026-03-31,MEGA,Bank Mega Tbk.,4680.0,4680.0,4500.0,4550.0,99300
2026-04-01,MEGA,Bank Mega Tbk.,4600.0,4710.0,4220.0,4250.0,314600
2026-04-02,MEGA,Bank Mega Tbk.,4430.0,4460.0,4170.0,4250.0,62500
2026-04-06,MEGA,Bank Mega Tbk.,4500.0,4500.0,4290.0,4490.0,332000
2026-04-07,MEGA,Bank Mega Tbk.,4600.0,5600.0,4500.0,5600.0,2395800
