date,kode,nama,open,high,low,close,volume
2026-01-22,HDFA,Radana Bhaskara Finance Tbk.,134.0,138.0,132.0,132.0,576300
2026-01-23,HDFA,Radana Bhaskara Finance Tbk.,133.0,133.0,127.0,132.0,1365300
2026-01-26,HDFA,Radana Bhaskara Finance Tbk.,133.0,141.0,129.0,131.0,1244400
2026-01-27,HDFA,Radana Bhaskara Finance Tbk.,132.0,135.0,129.0,132.0,526400
2026-01-28,HDFA,Radana Bhaskara Finance Tbk.,131.0,132.0,118.0,125.0,1049200
2026-01-29,HDFA,Radana Bhaskara Finance Tbk.,124.0,124.0,107.0,121.0,1282000
2026-01-30,HDFA,Radana Bhaskara Finance Tbk.,125.0,130.0,123.0,125.0,435900
2026-02-02,HDFA,Radana Bhaskara Finance Tbk.,126.0,140.0,110.0,114.0,3097200
2026-02-03,HDFA,Radana Bhaskara Finance Tbk.,120.0,125.0,110.0,115.0,565300
2026-02-04,HDFA,Radana Bhaskara Finance Tbk.,117.0,124.0,110.0,117.0,343300
2026-02-05,HDFA,Radana Bhaskara Finance Tbk.,120.0,124.0,115.0,123.0,474600
2026-02-06,HDFA,Radana Bhaskara Finance Tbk.,124.0,130.0,116.0,117.0,593200
2026-02-09,HDFA,Radana Bhaskara Finance Tbk.,120.0,128.0,115.0,119.0,484600
2026-02-10,HDFA,Radana Bhaskara Finance Tbk.,122.0,129.0,118.0,120.0,524100
2026-02-11,HDFA,Radana Bhaskara Finance Tbk.,120.0,131.0,120.0,123.0,705600
2026-02-12,HDFA,Radana Bhaskara Finance Tbk.,125.0,127.0,120.0,123.0,715100
2026-02-13,HDFA,Radana Bhaskara Finance Tbk.,119.0,122.0,116.0,121.0,351500
2026-02-18,HDFA,Radana Bhaskara Finance Tbk.,124.0,126.0,117.0,122.0,984000
