date,kode,nama,open,high,low,close,volume
2026-01-22,APIC,Pacific Strategic Financial Tb,1600.0,1600.0,1590.0,1590.0,41800
2026-01-23,APIC,Pacific Strategic Financial Tb,1595.0,1595.0,1535.0,1570.0,43100
2026-01-26,APIC,Pacific Strategic Financial Tb,1590.0,1600.0,1410.0,1420.0,181900
2026-01-27,APIC,Pacific Strategic Financial Tb,1425.0,1570.0,1400.0,1530.0,254900
2026-01-28,APIC,Pacific Strategic Financial Tb,1520.0,1585.0,1405.0,1560.0,234000
2026-01-29,APIC,Pacific Strategic Financial Tb,1555.0,1555.0,1330.0,1335.0,1702600
2026-01-30,APIC,Pacific Strategic Financial Tb,1390.0,1600.0,1350.0,1520.0,215300
2026-02-02,APIC,Pacific Strategic Financial Tb,1600.0,1600.0,1375.0,1375.0,52300
2026-02-03,APIC,Pacific Strategic Financial Tb,1485.0,1485.0,1400.0,1475.0,108400
2026-02-04,APIC,Pacific Strategic Financial Tb,1445.0,1445.0,1365.0,1420.0,73400
2026-02-05,APIC,Pacific Strategic Financial Tb,1400.0,1400.0,1365.0,1395.0,52600
2026-02-06,APIC,Pacific Strategic Financial Tb,1410.0,1430.0,1200.0,1395.0,1171600
2026-02-09,APIC,Pacific Strategic Financial Tb,1395.0,1395.0,1280.0,1350.0,612100
2026-02-10,APIC,Pacific Strategic Financial Tb,1400.0,1475.0,1370.0,1430.0,205700
2026-02-11,APIC,Pacific Strategic Financial Tb,1475.0,1505.0,1430.0,1435.0,160800
2026-02-12,APIC,Pacific Strategic Financial Tb,1495.0,1495.0,1280.0,1340.0,438600
2026-02-13,APIC,Pacific Strategic Financial Tb,1335.0,1340.0,1295.0,1340.0,45500
2026-02-18,APIC,Pacific Strategic Financial Tb,1340.0,1340.0,1255.0,1280.0,479700
2026-02-19,APIC,Pacific Strategic Financial Tb,1285.0,1300.0,1230.0,1280.0,175200
2026-02-20,APIC,Pacific Strategic Financial Tb,1280.0,1315.0,1230.0,1300.0,243700
2026-02-23,APIC,Pacific Strategic Financial Tb,1300.0,1300.0,1250.0,1280.0,458500
2026-02-24,APIC,Pacific Strategic Financial Tb,1285.0,1350.0,1280.0,1350.0,229700
2026-02-25,APIC,Pacific Strategic Financial Tb,1350.0,1360.0,1280.0,1360.0,103000
2026-02-26,APIC,Pacific Strategic Financial Tb,1355.0,1355.0,1280.0,1280.0,64300
2026-02-27,APIC,Pacific Strategic Financial Tb,1285.0,1285.0,1180.0,1250.0,1634600
2026-03-02,APIC,Pacific Strategic Financial Tb,1200.0,1220.0,1110.0,1200.0,804400
2026-03-03,APIC,Pacific Strategic Financial Tb,1200.0,1215.0,1200.0,1200.0,75900
2026-03-04,APIC,Pacific Strategic Financial Tb,1200.0,1200.0,1025.0,1200.0,234300
2026-03-05,APIC,Pacific Strategic Financial Tb,1200.0,1245.0,1130.0,1190.0,298200
2026-03-06,APIC,Pacific Strategic Financial Tb,1160.0,1160.0,1155.0,1155.0,11400
2026-03-09,APIC,Pacific Strategic Financial Tb,1150.0,1225.0,1150.0,1200.0,56600
2026-03-10,APIC,Pacific Strategic Financial Tb,1200.0,1445.0,1150.0,1245.0,80920200
2026-03-11,APIC,Pacific Strategic Financial Tb,1295.0,1445.0,1255.0,1445.0,309000
2026-03-12,APIC,Pacific Strategic Financial Tb,1445.0,1445.0,1305.0,1340.0,148300
2026-03-13,APIC,Pacific Strategic Financial Tb,1300.0,1330.0,1150.0,,595600
2026-03-16,APIC,Pacific Strategic Financial Tb,1150.0,1175.0,1150.0,,97100
2026-03-17,APIC,Pacific Strategic Financial Tb,1155.0,1155.0,1080.0,,412400
2026-03-25,APIC,Pacific Strategic Financial Tb,1155.0,1205.0,1150.0,1160.0,273300
2026-03-26,APIC,Pacific Strategic Financial Tb,1160.0,1175.0,1150.0,,228900
2026-03-27,APIC,Pacific Strategic Financial Tb,1165.0,1220.0,1150.0,1155.0,13100
2026-03-30,APIC,Pacific Strategic Financial Tb,1150.0,1150.0,1050.0,1135.0,647500
2026-03-31,APIC,Pacific Strategic Financial Tb,1135.0,1150.0,1120.0,1135.0,126100
2026-04-01,APIC,Pacific Strategic Financial Tb,1145.0,1145.0,1110.0,1135.0,181400
2026-04-02,APIC,Pacific Strategic Financial Tb,1135.0,1185.0,1135.0,1170.0,585100
2026-04-06,APIC,Pacific Strategic Financial Tb,1170.0,1200.0,1085.0,1170.0,288600
2026-04-07,APIC,Pacific Strategic Financial Tb,1165.0,1170.0,1135.0,1170.0,21900
2026-04-08,APIC,Pacific Strategic Financial Tb,1150.0,1175.0,1130.0,1130.0,132900
2026-04-09,APIC,Pacific Strategic Financial Tb,1185.0,1410.0,1185.0,1410.0,1239600
2026-04-10,APIC,Pacific Strategic Financial Tb,1410.0,1565.0,1410.0,1565.0,1087700
2026-04-13,APIC,Pacific Strategic Financial Tb,1525.0,1560.0,1335.0,1335.0,398200
2026-04-14,APIC,Pacific Strategic Financial Tb,1465.0,1465.0,1235.0,1275.0,93100
2026-04-15,APIC,Pacific Strategic Financial Tb,1275.0,1345.0,1225.0,1250.0,155000
2026-04-16,APIC,Pacific Strategic Financial Tb,1250.0,1285.0,1230.0,1265.0,33400
2026-04-17,APIC,Pacific Strategic Financial Tb,1270.0,1270.0,1200.0,1230.0,53300
2026-04-20,APIC,Pacific Strategic Financial Tb,1245.0,1250.0,1180.0,1200.0,15700
2026-04-21,APIC,Pacific Strategic Financial Tb,1225.0,1500.0,1195.0,1500.0,1099800
