date,kode,nama,open,high,low,close,volume
2026-01-22,BANK,Bank Aladin Syariah Tbk.,855.0,865.0,790.0,800.0,17887800
2026-01-23,BANK,Bank Aladin Syariah Tbk.,795.0,795.0,750.0,750.0,8304200
2026-01-26,BANK,Bank Aladin Syariah Tbk.,750.0,750.0,650.0,655.0,11700200
2026-01-27,BANK,Bank Aladin Syariah Tbk.,650.0,690.0,630.0,690.0,7336400
2026-01-28,BANK,Bank Aladin Syariah Tbk.,690.0,690.0,645.0,660.0,4799200
2026-01-29,BANK,Bank Aladin Syariah Tbk.,660.0,660.0,565.0,610.0,3746000
2026-01-30,BANK,Bank Aladin Syariah Tbk.,620.0,650.0,595.0,650.0,7963200
2026-02-02,BANK,Bank Aladin Syariah Tbk.,650.0,650.0,585.0,585.0,2787800
2026-02-03,BANK,Bank Aladin Syariah Tbk.,605.0,615.0,570.0,610.0,1123700
2026-02-04,BANK,Bank Aladin Syariah Tbk.,610.0,650.0,600.0,645.0,1601000
2026-02-05,BANK,Bank Aladin Syariah Tbk.,645.0,650.0,610.0,630.0,2022000
2026-02-06,BANK,Bank Aladin Syariah Tbk.,615.0,630.0,585.0,590.0,1857600
2026-02-09,BANK,Bank Aladin Syariah Tbk.,590.0,630.0,585.0,620.0,1458300
2026-02-10,BANK,Bank Aladin Syariah Tbk.,630.0,630.0,605.0,625.0,674100
2026-02-11,BANK,Bank Aladin Syariah Tbk.,625.0,655.0,620.0,635.0,1344600
2026-02-12,BANK,Bank Aladin Syariah Tbk.,640.0,640.0,610.0,615.0,1504200
2026-02-13,BANK,Bank Aladin Syariah Tbk.,620.0,635.0,605.0,630.0,901100
2026-02-18,BANK,Bank Aladin Syariah Tbk.,635.0,635.0,620.0,620.0,1203200
2026-02-19,BANK,Bank Aladin Syariah Tbk.,625.0,630.0,600.0,615.0,1977500
2026-02-20,BANK,Bank Aladin Syariah Tbk.,620.0,620.0,600.0,610.0,711900
2026-02-23,BANK,Bank Aladin Syariah Tbk.,610.0,620.0,600.0,610.0,1380500
2026-02-24,BANK,Bank Aladin Syariah Tbk.,610.0,610.0,585.0,610.0,1538500
