date,kode,nama,open,high,low,close,volume
2026-01-22,DNET,Indoritel Makmur Internasional,9050.0,9075.0,8875.0,9075.0,10000
2026-01-23,DNET,Indoritel Makmur Internasional,9050.0,9050.0,8725.0,8825.0,29200
2026-01-26,DNET,Indoritel Makmur Internasional,8825.0,8975.0,8300.0,8950.0,30100
2026-01-27,DNET,Indoritel Makmur Internasional,8975.0,8975.0,8700.0,8950.0,5800
2026-01-28,DNET,Indoritel Makmur Internasional,8725.0,8975.0,8300.0,8900.0,17300
2026-01-29,DNET,Indoritel Makmur Internasional,8875.0,8900.0,8100.0,8875.0,12900
2026-01-30,DNET,Indoritel Makmur Internasional,8975.0,8975.0,8825.0,8975.0,8600
2026-02-02,DNET,Indoritel Makmur Internasional,8925.0,8975.0,8825.0,8975.0,14100
2026-02-03,DNET,Indoritel Makmur Internasional,9000.0,9000.0,8825.0,8975.0,2200
2026-02-04,DNET,Indoritel Makmur Internasional,8950.0,8975.0,8825.0,8975.0,9200
2026-02-05,DNET,Indoritel Makmur Internasional,8825.0,9000.0,8825.0,8975.0,8100
2026-02-06,DNET,Indoritel Makmur Internasional,8950.0,9000.0,8825.0,8975.0,9300
2026-02-09,DNET,Indoritel Makmur Internasional,8975.0,8975.0,8950.0,8975.0,2700
2026-02-10,DNET,Indoritel Makmur Internasional,8950.0,9000.0,8725.0,9000.0,8300
2026-02-11,DNET,Indoritel Makmur Internasional,8675.0,9075.0,8500.0,9075.0,46800
