date,kode,nama,open,high,low,close,volume
2026-01-22,TIFA,KDB Tifa Finance Tbk.,442.0,450.0,430.0,448.0,19100
2026-01-23,TIFA,KDB Tifa Finance Tbk.,448.0,448.0,410.0,444.0,23700
2026-01-26,TIFA,KDB Tifa Finance Tbk.,444.0,446.0,434.0,440.0,83100
2026-01-27,TIFA,KDB Tifa Finance Tbk.,428.0,438.0,420.0,438.0,37400
2026-01-28,TIFA,KDB Tifa Finance Tbk.,424.0,436.0,398.0,410.0,92800
2026-01-29,TIFA,KDB Tifa Finance Tbk.,412.0,412.0,350.0,380.0,63100
2026-01-30,TIFA,KDB Tifa Finance Tbk.,406.0,408.0,378.0,392.0,30900
2026-02-02,TIFA,KDB Tifa Finance Tbk.,394.0,490.0,336.0,388.0,3266000
2026-02-03,TIFA,KDB Tifa Finance Tbk.,388.0,400.0,340.0,362.0,323500
2026-02-04,TIFA,KDB Tifa Finance Tbk.,362.0,362.0,342.0,350.0,101800
2026-02-05,TIFA,KDB Tifa Finance Tbk.,350.0,366.0,340.0,364.0,107000
2026-02-06,TIFA,KDB Tifa Finance Tbk.,362.0,448.0,348.0,398.0,1873000
2026-02-09,TIFA,KDB Tifa Finance Tbk.,496.0,496.0,406.0,418.0,2480500
2026-02-10,TIFA,KDB Tifa Finance Tbk.,420.0,420.0,392.0,400.0,477700
2026-02-11,TIFA,KDB Tifa Finance Tbk.,410.0,410.0,386.0,392.0,225800
2026-02-12,TIFA,KDB Tifa Finance Tbk.,406.0,406.0,382.0,388.0,85300
2026-02-13,TIFA,KDB Tifa Finance Tbk.,388.0,394.0,378.0,388.0,26400
2026-02-18,TIFA,KDB Tifa Finance Tbk.,382.0,388.0,370.0,380.0,125400
2026-02-19,TIFA,KDB Tifa Finance Tbk.,386.0,446.0,384.0,396.0,615000
2026-02-20,TIFA,KDB Tifa Finance Tbk.,396.0,404.0,388.0,388.0,63900
2026-02-23,TIFA,KDB Tifa Finance Tbk.,390.0,398.0,388.0,392.0,26700
2026-02-24,TIFA,KDB Tifa Finance Tbk.,392.0,392.0,386.0,386.0,40900
2026-02-25,TIFA,KDB Tifa Finance Tbk.,384.0,400.0,370.0,378.0,174900
2026-02-26,TIFA,KDB Tifa Finance Tbk.,396.0,400.0,378.0,378.0,31300
2026-02-27,TIFA,KDB Tifa Finance Tbk.,378.0,382.0,372.0,380.0,13100
2026-03-02,TIFA,KDB Tifa Finance Tbk.,392.0,392.0,336.0,368.0,41900
2026-03-03,TIFA,KDB Tifa Finance Tbk.,364.0,366.0,340.0,352.0,30400
2026-03-04,TIFA,KDB Tifa Finance Tbk.,352.0,352.0,340.0,344.0,31600
2026-03-05,TIFA,KDB Tifa Finance Tbk.,380.0,380.0,346.0,360.0,5500
2026-03-06,TIFA,KDB Tifa Finance Tbk.,360.0,374.0,306.0,352.0,94800
2026-03-09,TIFA,KDB Tifa Finance Tbk.,344.0,348.0,332.0,332.0,11600
2026-03-10,TIFA,KDB Tifa Finance Tbk.,332.0,346.0,332.0,334.0,74400
2026-03-11,TIFA,KDB Tifa Finance Tbk.,342.0,382.0,342.0,378.0,13400
2026-03-12,TIFA,KDB Tifa Finance Tbk.,378.0,382.0,328.0,328.0,151300
2026-03-13,TIFA,KDB Tifa Finance Tbk.,338.0,378.0,322.0,,102000
2026-03-16,TIFA,KDB Tifa Finance Tbk.,378.0,378.0,326.0,,148900
2026-03-17,TIFA,KDB Tifa Finance Tbk.,360.0,360.0,320.0,,102600
2026-03-25,TIFA,KDB Tifa Finance Tbk.,346.0,358.0,332.0,342.0,45900
2026-03-26,TIFA,KDB Tifa Finance Tbk.,342.0,348.0,342.0,,23500
2026-03-27,TIFA,KDB Tifa Finance Tbk.,348.0,348.0,338.0,344.0,4500
2026-03-30,TIFA,KDB Tifa Finance Tbk.,338.0,350.0,336.0,348.0,4300
2026-03-31,TIFA,KDB Tifa Finance Tbk.,348.0,348.0,326.0,332.0,15200
2026-04-01,TIFA,KDB Tifa Finance Tbk.,326.0,336.0,326.0,330.0,12200
2026-04-02,TIFA,KDB Tifa Finance Tbk.,334.0,340.0,328.0,338.0,5900
2026-04-06,TIFA,KDB Tifa Finance Tbk.,330.0,420.0,324.0,330.0,362200
2026-04-07,TIFA,KDB Tifa Finance Tbk.,336.0,336.0,328.0,332.0,4500
2026-04-08,TIFA,KDB Tifa Finance Tbk.,340.0,340.0,328.0,336.0,19000
2026-04-09,TIFA,KDB Tifa Finance Tbk.,340.0,340.0,330.0,332.0,4200
2026-04-10,TIFA,KDB Tifa Finance Tbk.,330.0,334.0,330.0,334.0,15800
2026-04-13,TIFA,KDB Tifa Finance Tbk.,334.0,354.0,328.0,348.0,61800
2026-04-14,TIFA,KDB Tifa Finance Tbk.,346.0,348.0,344.0,346.0,51400
2026-04-15,TIFA,KDB Tifa Finance Tbk.,346.0,376.0,344.0,344.0,203100
2026-04-16,TIFA,KDB Tifa Finance Tbk.,354.0,374.0,350.0,354.0,46400
2026-04-17,TIFA,KDB Tifa Finance Tbk.,354.0,364.0,346.0,362.0,7500
2026-04-20,TIFA,KDB Tifa Finance Tbk.,366.0,368.0,350.0,352.0,24500
2026-04-21,TIFA,KDB Tifa Finance Tbk.,348.0,360.0,348.0,356.0,5700
2026-04-22,TIFA,KDB Tifa Finance Tbk.,356.0,364.0,350.0,352.0,40000
2026-04-23,TIFA,KDB Tifa Finance Tbk.,372.0,372.0,348.0,352.0,11300
2026-04-24,TIFA,KDB Tifa Finance Tbk.,352.0,352.0,342.0,344.0,59300
2026-04-27,TIFA,KDB Tifa Finance Tbk.,342.0,362.0,342.0,358.0,4500
2026-04-28,TIFA,KDB Tifa Finance Tbk.,344.0,356.0,342.0,354.0,45900
2026-04-29,TIFA,KDB Tifa Finance Tbk.,342.0,354.0,342.0,350.0,4700
2026-04-30,TIFA,KDB Tifa Finance Tbk.,342.0,342.0,330.0,332.0,28600
2026-05-01,TIFA,KDB Tifa Finance Tbk.,,,,,
2026-05-04,TIFA,KDB Tifa Finance Tbk.,340.0,340.0,334.0,338.0,3200
2026-05-05,TIFA,KDB Tifa Finance Tbk.,354.0,400.0,350.0,358.0,1272800
2026-05-06,TIFA,KDB Tifa Finance Tbk.,360.0,360.0,332.0,344.0,93800
2026-05-07,TIFA,KDB Tifa Finance Tbk.,344.0,364.0,340.0,350.0,31500
2026-05-08,TIFA,KDB Tifa Finance Tbk.,346.0,346.0,326.0,330.0,96800
2026-05-11,TIFA,KDB Tifa Finance Tbk.,336.0,340.0,330.0,340.0,25000
2026-05-12,TIFA,KDB Tifa Finance Tbk.,330.0,338.0,330.0,332.0,25700
2026-05-13,TIFA,KDB Tifa Finance Tbk.,340.0,340.0,330.0,334.0,3700
2026-05-14,TIFA,KDB Tifa Finance Tbk.,,,,,
2026-05-15,TIFA,KDB Tifa Finance Tbk.,,,,,
2026-05-18,TIFA,KDB Tifa Finance Tbk.,334.0,334.0,312.0,326.0,10500
2026-05-19,TIFA,KDB Tifa Finance Tbk.,326.0,326.0,300.0,310.0,52600
2026-05-20,TIFA,KDB Tifa Finance Tbk.,310.0,378.0,310.0,310.0,295600
2026-05-21,TIFA,KDB Tifa Finance Tbk.,318.0,338.0,314.0,318.0,65600
2026-05-22,TIFA,KDB Tifa Finance Tbk.,320.0,332.0,310.0,324.0,3500
2026-05-25,TIFA,KDB Tifa Finance Tbk.,330.0,330.0,310.0,324.0,31800
2026-05-26,TIFA,KDB Tifa Finance Tbk.,324.0,324.0,310.0,322.0,8800
2026-05-27,TIFA,KDB Tifa Finance Tbk.,,,,,
2026-05-28,TIFA,KDB Tifa Finance Tbk.,,,,,
2026-05-29,TIFA,KDB Tifa Finance Tbk.,312.0,328.0,302.0,320.0,15700
2026-06-01,TIFA,KDB Tifa Finance Tbk.,,,,,
2026-06-02,TIFA,KDB Tifa Finance Tbk.,304.0,318.0,302.0,,26000
2026-06-03,TIFA,KDB Tifa Finance Tbk.,310.0,312.0,304.0,,3900
2026-06-04,TIFA,KDB Tifa Finance Tbk.,312.0,312.0,284.0,302.0,11000
