date,kode,nama,open,high,low,close,volume
2026-01-22,YOII,Asuransi Digital Bersama Tbk.,145.0,145.0,116.0,116.0,632553300
2026-01-23,YOII,Asuransi Digital Bersama Tbk.,122.0,130.0,110.0,114.0,110210800
2026-01-26,YOII,Asuransi Digital Bersama Tbk.,116.0,116.0,108.0,109.0,40878500
2026-01-27,YOII,Asuransi Digital Bersama Tbk.,110.0,112.0,106.0,108.0,15689700
2026-01-28,YOII,Asuransi Digital Bersama Tbk.,105.0,105.0,95.0,99.0,37516800
2026-01-29,YOII,Asuransi Digital Bersama Tbk.,99.0,111.0,92.0,99.0,51317600
2026-01-30,YOII,Asuransi Digital Bersama Tbk.,100.0,124.0,96.0,108.0,232014900
2026-02-02,YOII,Asuransi Digital Bersama Tbk.,110.0,110.0,100.0,100.0,32269200
2026-02-03,YOII,Asuransi Digital Bersama Tbk.,100.0,106.0,100.0,103.0,21431800
2026-02-04,YOII,Asuransi Digital Bersama Tbk.,103.0,103.0,100.0,100.0,7848100
2026-02-05,YOII,Asuransi Digital Bersama Tbk.,102.0,109.0,99.0,104.0,48616300
2026-02-06,YOII,Asuransi Digital Bersama Tbk.,102.0,107.0,100.0,101.0,24243900
2026-02-09,YOII,Asuransi Digital Bersama Tbk.,101.0,103.0,101.0,101.0,7204000
2026-02-10,YOII,Asuransi Digital Bersama Tbk.,102.0,106.0,101.0,101.0,9423700
2026-02-11,YOII,Asuransi Digital Bersama Tbk.,102.0,106.0,101.0,103.0,10153000
2026-02-12,YOII,Asuransi Digital Bersama Tbk.,104.0,104.0,101.0,101.0,8490600
2026-02-13,YOII,Asuransi Digital Bersama Tbk.,102.0,103.0,100.0,101.0,7832100
2026-02-18,YOII,Asuransi Digital Bersama Tbk.,102.0,103.0,100.0,101.0,7162500
2026-02-19,YOII,Asuransi Digital Bersama Tbk.,101.0,105.0,100.0,102.0,14043000
2026-02-20,YOII,Asuransi Digital Bersama Tbk.,102.0,113.0,101.0,102.0,112849200
2026-02-23,YOII,Asuransi Digital Bersama Tbk.,103.0,106.0,102.0,106.0,15410300
2026-02-24,YOII,Asuransi Digital Bersama Tbk.,107.0,109.0,103.0,103.0,19200500
2026-02-25,YOII,Asuransi Digital Bersama Tbk.,103.0,110.0,102.0,109.0,52928900
2026-02-26,YOII,Asuransi Digital Bersama Tbk.,110.0,113.0,104.0,106.0,60296100
2026-02-27,YOII,Asuransi Digital Bersama Tbk.,106.0,109.0,104.0,108.0,9299900
2026-03-02,YOII,Asuransi Digital Bersama Tbk.,105.0,106.0,101.0,102.0,18353700
2026-03-03,YOII,Asuransi Digital Bersama Tbk.,103.0,107.0,103.0,104.0,13427300
2026-03-04,YOII,Asuransi Digital Bersama Tbk.,105.0,106.0,99.0,100.0,18537700
2026-03-05,YOII,Asuransi Digital Bersama Tbk.,102.0,105.0,100.0,101.0,9237100
