date,kode,nama,open,high,low,close,volume
2026-01-22,VICO,Victoria Investama Tbk.,204.0,218.0,200.0,204.0,6252000
2026-01-23,VICO,Victoria Investama Tbk.,204.0,204.0,200.0,204.0,1189300
2026-01-26,VICO,Victoria Investama Tbk.,206.0,206.0,200.0,200.0,422900
2026-01-27,VICO,Victoria Investama Tbk.,200.0,204.0,198.0,200.0,831100
2026-01-28,VICO,Victoria Investama Tbk.,200.0,200.0,181.0,183.0,1626300
2026-01-29,VICO,Victoria Investama Tbk.,180.0,204.0,172.0,193.0,3327800
2026-01-30,VICO,Victoria Investama Tbk.,193.0,199.0,190.0,193.0,278200
2026-02-02,VICO,Victoria Investama Tbk.,190.0,190.0,175.0,175.0,351800
2026-02-03,VICO,Victoria Investama Tbk.,175.0,196.0,172.0,183.0,319300
2026-02-04,VICO,Victoria Investama Tbk.,183.0,190.0,178.0,185.0,121300
2026-02-05,VICO,Victoria Investama Tbk.,185.0,188.0,181.0,187.0,182200
2026-02-06,VICO,Victoria Investama Tbk.,187.0,188.0,182.0,185.0,128100
2026-02-09,VICO,Victoria Investama Tbk.,182.0,185.0,180.0,181.0,72000
2026-02-10,VICO,Victoria Investama Tbk.,181.0,185.0,180.0,184.0,301500
2026-02-11,VICO,Victoria Investama Tbk.,193.0,193.0,184.0,187.0,214000
2026-02-12,VICO,Victoria Investama Tbk.,187.0,192.0,184.0,190.0,590800
2026-02-13,VICO,Victoria Investama Tbk.,187.0,193.0,185.0,191.0,389400
2026-02-18,VICO,Victoria Investama Tbk.,191.0,192.0,182.0,190.0,524100
2026-02-19,VICO,Victoria Investama Tbk.,186.0,191.0,181.0,185.0,669600
2026-02-20,VICO,Victoria Investama Tbk.,185.0,189.0,184.0,184.0,158100
2026-02-23,VICO,Victoria Investama Tbk.,190.0,190.0,183.0,185.0,80800
2026-02-24,VICO,Victoria Investama Tbk.,187.0,187.0,184.0,184.0,53000
2026-02-25,VICO,Victoria Investama Tbk.,184.0,186.0,183.0,186.0,161800
2026-02-26,VICO,Victoria Investama Tbk.,185.0,186.0,184.0,184.0,80000
2026-02-27,VICO,Victoria Investama Tbk.,184.0,185.0,180.0,185.0,161400
2026-03-02,VICO,Victoria Investama Tbk.,181.0,182.0,179.0,179.0,277400
2026-03-03,VICO,Victoria Investama Tbk.,180.0,181.0,176.0,179.0,235000
2026-03-04,VICO,Victoria Investama Tbk.,177.0,184.0,176.0,177.0,113400
2026-03-05,VICO,Victoria Investama Tbk.,177.0,177.0,173.0,177.0,161500
2026-03-06,VICO,Victoria Investama Tbk.,177.0,177.0,169.0,175.0,159800
2026-03-09,VICO,Victoria Investama Tbk.,172.0,172.0,149.0,152.0,948100
2026-03-10,VICO,Victoria Investama Tbk.,152.0,161.0,152.0,159.0,34800
2026-03-11,VICO,Victoria Investama Tbk.,160.0,160.0,154.0,157.0,110800
2026-03-12,VICO,Victoria Investama Tbk.,153.0,153.0,145.0,150.0,277400
2026-03-13,VICO,Victoria Investama Tbk.,151.0,151.0,137.0,,100500
2026-03-16,VICO,Victoria Investama Tbk.,162.0,182.0,146.0,,5205300
2026-03-17,VICO,Victoria Investama Tbk.,146.0,159.0,146.0,,458700
2026-03-25,VICO,Victoria Investama Tbk.,146.0,148.0,139.0,147.0,232500
2026-03-26,VICO,Victoria Investama Tbk.,147.0,152.0,147.0,,118800
