date,kode,nama,open,high,low,close,volume
2026-01-22,PADI,Minna Padi Investama Sekuritas,199.0,199.0,199.0,199.0,0
2026-01-23,PADI,Minna Padi Investama Sekuritas,199.0,199.0,199.0,199.0,0
2026-01-26,PADI,Minna Padi Investama Sekuritas,199.0,199.0,199.0,199.0,0
2026-01-27,PADI,Minna Padi Investama Sekuritas,180.0,180.0,180.0,180.0,29102700
2026-01-28,PADI,Minna Padi Investama Sekuritas,162.0,162.0,162.0,162.0,11107900
2026-01-29,PADI,Minna Padi Investama Sekuritas,146.0,146.0,146.0,146.0,15839100
2026-01-30,PADI,Minna Padi Investama Sekuritas,132.0,146.0,132.0,146.0,224865500
2026-02-02,PADI,Minna Padi Investama Sekuritas,132.0,132.0,132.0,132.0,23319800
2026-02-03,PADI,Minna Padi Investama Sekuritas,119.0,130.0,119.0,130.0,121860200
2026-02-04,PADI,Minna Padi Investama Sekuritas,117.0,117.0,117.0,117.0,42517800
2026-02-05,PADI,Minna Padi Investama Sekuritas,100.0,113.0,100.0,100.0,1056890900
2026-02-06,PADI,Minna Padi Investama Sekuritas,91.0,95.0,85.0,85.0,1814015900
2026-02-09,PADI,Minna Padi Investama Sekuritas,78.0,94.0,74.0,88.0,2303185200
2026-02-10,PADI,Minna Padi Investama Sekuritas,86.0,91.0,83.0,86.0,364794200
2026-02-11,PADI,Minna Padi Investama Sekuritas,86.0,116.0,86.0,116.0,1896195900
2026-02-12,PADI,Minna Padi Investama Sekuritas,125.0,145.0,124.0,128.0,2056465700
2026-02-13,PADI,Minna Padi Investama Sekuritas,125.0,137.0,118.0,128.0,916762100
2026-02-18,PADI,Minna Padi Investama Sekuritas,130.0,144.0,130.0,137.0,922974400
2026-02-19,PADI,Minna Padi Investama Sekuritas,140.0,148.0,134.0,139.0,924954600
2026-02-20,PADI,Minna Padi Investama Sekuritas,140.0,143.0,134.0,135.0,207248100
